Tm,Yds,RYds/A,TD,RYds/G
22,Arizona,1540,3.6,12,96.3
31,Atlanta,1247,3.9,11,77.9
29,Baltimore,1328,3.1,7,83.0
1,Buffalo,2307,4.2,15,144.2
10,Carolina,2026,4.2,14,126.6
15,Chicago,1828,4.5,13,114.3
17,Cincinnati,1755,3.6,14,109.7
26,Cleveland,1383,4.0,4,86.4
23,Dallas,1504,4.5,12,94.0
14,Denver,1873,4.1,16,117.1
16,Detroit,1792,4.0,15,112.0
6,Green Bay,2136,4.7,17,133.5
20,Houston,1743,4.2,7,108.9
19,Indianapolis,1743,4.3,15,108.9
30,Jacksonville,1260,3.3,7,78.8
9,Kansas City,2056,4.7,17,128.5
12,LA Chargers,1965,4.0,9,122.8
18,LA Rams,1752,4.1,10,109.5
25,Miami,1440,4.1,8,90.0
7,Minnesota,2081,4.9,23,130.1
28,NY Giants,1332,3.5,11,83.3
5,NY Jets,2158,4.4,12,134.9
8,New England,2065,4.4,19,129.1
24,New Orleans,1473,3.8,10,92.1
11,Oakland,2000,4.6,16,125.0
0,Philadelphia,2566,5.1,19,160.4
27,Pittsburgh,1383,3.5,9,86.4
2,San Francisco,2201,4.4,18,137.6
3,Seattle,2188,4.3,14,136.8
21,Tampa Bay,1612,3.8,6,100.8
13,Tennessee,1894,4.1,16,118.4
4,Washington,2164,4.8,14,135.3
