Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
3,Arizona,67.6,3262,7.1,21,7,96.1,204
26,Atlanta,68.0,4153,7.5,33,15,98.3,260
4,Baltimore,58.4,3360,6.3,21,12,80.6,210
0,Buffalo,63.6,2867,6.3,22,16,82.6,179
17,Carolina,66.7,3847,7.7,32,13,99.6,240
6,Chicago,61.3,3515,6.3,22,27,72.9,220
31,Cincinnati,66.6,4414,7.9,32,12,100.0,276
24,Cleveland,62.8,4125,7.0,21,17,83.4,258
12,Dallas,67.7,3755,7.4,22,9,95.7,235
19,Denver,64.3,3929,7.7,26,17,90.7,246
7,Detroit,65.1,3599,7.9,29,7,102.7,225
11,Green Bay,63.8,3752,7.7,30,7,100.9,235
27,Houston,64.8,4167,7.5,28,15,92.7,260
15,Indianapolis,70.8,3805,7.4,21,15,93.5,238
1,Jacksonville,62.5,3113,6.7,17,11,84.4,195
30,Kansas City,64.2,4374,7.5,30,15,92.7,273
8,LA Chargers,64.1,3646,7.1,23,13,89.1,228
13,LA Rams,65.1,3780,7.7,31,18,93.8,236
20,Miami,65.9,3932,8.2,31,21,94.1,246
2,Minnesota,62.6,3140,7.0,15,12,83.3,196
22,NY Giants,64.6,4044,7.6,24,16,89.8,253
23,NY Jets,63.1,4065,7.5,29,13,93.1,254
21,New England,61.2,3943,6.9,29,18,85.4,246
28,New Orleans,67.0,4302,8.1,30,12,100.3,269
18,Oakland,62.3,3853,8.2,36,14,101.0,241
29,Philadelphia,66.6,4308,7.4,22,10,93.4,269
9,Pittsburgh,64.0,3697,7.1,27,8,95.2,231
10,San Francisco,63.5,3732,7.3,35,2,105.4,233
16,Seattle,65.0,3842,7.5,26,12,94.3,240
25,Tampa Bay,72.5,4151,8.2,34,9,110.9,259
5,Tennessee,63.2,3471,7.0,21,11,88.4,217
14,Washington,67.4,3794,7.6,27,15,95.1,237
