Tm,Yds,RYds/A,TD,RYds/G
12,Arizona,1739,4.4,9,108.7
20,Atlanta,1894,4.2,21,118.4
3,Baltimore,1412,3.6,8,88.3
10,Buffalo,1703,4.1,10,106.4
15,Carolina,1792,4.5,14,112.0
16,Chicago,1803,4.3,12,112.7
19,Cincinnati,1861,4.2,16,116.3
31,Cleveland,2265,4.5,13,141.6
7,Dallas,1650,4.2,18,103.1
1,Denver,1276,3.7,9,79.8
0,Detroit,1109,3.2,8,69.3
22,Green Bay,1919,4.3,11,119.9
9,Houston,1681,4.0,6,105.1
17,Indianapolis,1814,4.3,14,113.4
26,Jacksonville,2033,4.1,15,127.1
27,Kansas City,2036,4.7,4,127.3
25,LA Chargers,1986,4.5,11,124.1
13,LA Rams,1765,4.2,12,110.3
23,Miami,1937,4.3,13,121.1
24,Minnesota,1943,4.3,10,121.4
29,NY Giants,2162,4.9,15,135.1
4,NY Jets,1489,3.8,10,93.1
8,New England,1669,4.0,6,104.3
28,New Orleans,2125,4.8,17,132.8
21,Oakland,1911,4.0,17,119.4
14,Philadelphia,1771,3.7,14,110.7
5,Pittsburgh,1605,4.4,9,100.3
6,San Francisco,1612,4.0,7,100.8
2,Seattle,1304,3.4,8,81.5
18,Tampa Bay,1819,3.9,15,113.7
30,Tennessee,2195,4.3,17,137.2
11,Washington,1722,4.1,11,107.6
