Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
8,Arizona,59.3,4136,6.9,28,17,83.5,259
2,Atlanta,69.6,4725,9.2,38,7,116.8,295
11,Baltimore,64.7,4100,6.4,20,16,82.6,256
29,Buffalo,60.3,3036,6.9,17,7,86.7,190
21,Carolina,54.4,3685,7.0,21,19,75.1,230
13,Chicago,62.1,3969,7.4,19,19,81.8,248
14,Cincinnati,64.7,3942,7.5,18,8,91.8,246
27,Cleveland,59.6,3264,6.5,15,14,77.4,204
22,Dallas,67.3,3631,7.9,25,6,103.0,227
20,Denver,59.5,3685,6.9,20,11,83.9,230
10,Detroit,65.3,4111,7.3,24,10,93.3,257
6,Green Bay,65.0,4199,7.2,40,8,102.3,262
28,Houston,59.5,3176,5.9,15,16,73.3,199
4,Indianapolis,63.4,4202,7.7,32,15,94.5,263
19,Jacksonville,58.9,3728,6.3,24,16,79.5,233
18,Kansas City,66.9,3740,7.2,19,8,93.2,234
7,LA Chargers,60.2,4198,7.6,33,21,87.6,262
30,LA Rams,58.2,2951,6.2,14,20,69.5,184
25,Miami,66.2,3500,7.8,27,15,95.5,219
17,Minnesota,70.4,3836,7.0,20,5,97.7,240
16,NY Giants,63.0,3879,6.7,26,16,86.0,242
26,NY Jets,56.5,3466,6.6,16,25,67.6,217
3,New England,66.9,4308,8.1,32,2,109.5,269
0,New Orleans,70.0,5074,7.8,38,15,102.5,317
12,Oakland,63.6,4051,6.9,29,7,95.3,253
23,Philadelphia,62.4,3585,6.2,16,14,79.2,224
5,Pittsburgh,63.9,4202,7.3,33,15,93.9,263
31,San Francisco,58.5,2911,6.4,21,10,83.4,182
9,Seattle,64.9,4124,7.8,23,12,93.4,258
15,Tampa Bay,61.4,3926,7.2,29,18,87.0,245
24,Tennessee,60.9,3541,7.4,29,11,93.7,221
1,Washington,67.1,4758,8.2,25,12,97.4,297
