Tm,Yds,RYds/A,TD,RYds/G
7,Arizona,1917,4.2,16,119.8
17,Atlanta,1611,3.8,13,100.7
25,Baltimore,1478,3.9,8,92.4
0,Buffalo,2432,4.8,19,152.0
1,Carolina,2282,4.3,19,142.6
10,Chicago,1851,3.9,13,115.7
12,Cincinnati,1805,3.9,18,112.8
21,Cleveland,1529,4.0,5,95.6
8,Dallas,1890,4.6,8,118.1
16,Denver,1718,4.2,13,107.4
31,Detroit,1335,3.8,7,83.4
11,Green Bay,1850,4.2,8,115.6
14,Houston,1731,3.7,7,108.2
28,Indianapolis,1438,3.6,6,89.9
26,Jacksonville,1473,4.2,5,92.1
5,Kansas City,2044,4.7,19,127.8
30,LA Chargers,1358,3.5,4,84.9
6,LA Rams,1956,4.6,16,122.3
22,Miami,1496,4.3,11,93.5
3,Minnesota,2211,4.7,18,138.2
18,NY Giants,1609,4.0,5,100.6
9,NY Jets,1868,4.2,11,116.8
29,New England,1404,3.7,14,87.8
23,New Orleans,1491,3.8,16,93.2
27,Oakland,1457,3.9,7,91.1
13,Philadelphia,1743,3.9,15,108.9
15,Pittsburgh,1724,4.4,16,107.8
20,San Francisco,1544,4.0,7,96.5
2,Seattle,2268,4.5,10,141.8
4,Tampa Bay,2162,4.8,12,135.1
24,Tennessee,1485,4.0,10,92.8
19,Washington,1566,3.7,9,97.9
