Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
1,Arizona,62.8,4616,8.5,35,13,100.9,289
5,Atlanta,66.0,4379,7.4,21,17,87.8,274
7,Baltimore,63.0,4271,6.6,21,21,79.4,267
27,Buffalo,63.4,3343,7.7,23,9,95.6,209
23,Carolina,59.9,3589,7.7,35,10,99.2,224
22,Chicago,63.9,3663,7.3,21,12,89.7,229
14,Cincinnati,66.1,3923,8.1,31,9,104.1,245
20,Cleveland,60.9,3782,6.8,20,12,84.0,236
26,Dallas,63.3,3471,7.0,16,22,76.6,217
13,Denver,60.7,3970,7.0,19,23,76.3,248
8,Detroit,66.5,4212,7.1,33,14,95.1,263
24,Green Bay,60.7,3503,6.7,31,8,92.7,219
17,Houston,57.8,3833,6.6,29,12,85.3,240
21,Indianapolis,57.4,3704,6.3,26,19,77.5,232
9,Jacksonville,58.5,4108,7.3,35,18,88.1,257
29,Kansas City,65.5,3255,7.4,20,7,95.4,203
3,LA Chargers,66.3,4591,7.3,30,13,94.5,287
31,LA Rams,57.7,2805,6.2,11,11,74.1,175
18,Miami,62.1,3811,7.2,24,12,88.9,238
30,Minnesota,64.8,2928,7.2,14,9,87.9,183
6,NY Giants,62.9,4347,7.2,36,14,94.5,272
12,NY Jets,59.9,4057,6.9,33,16,88.0,254
4,New England,64.2,4587,7.7,36,7,101.9,287
0,New Orleans,69.0,4970,7.8,32,12,100.6,311
15,Oakland,61.7,3879,6.8,34,14,91.0,242
11,Philadelphia,65.0,4087,7.0,23,18,85.6,255
2,Pittsburgh,66.3,4603,8.2,26,21,91.2,288
28,San Francisco,61.2,3316,6.9,16,12,82.6,207
19,Seattle,68.1,3790,8.3,34,8,109.8,237
16,Tampa Bay,58.3,3852,7.6,22,15,84.2,241
25,Tennessee,62.1,3503,7.1,25,17,85.5,219
10,Washington,69.6,4095,7.7,30,11,102.0,256
