Tm,Yds,RYds/A,TD,RYds/G
31,Arizona,1204,3.4,10,75.3
28,Atlanta,1397,3.7,12,87.3
10,Baltimore,1901,4.3,17,118.8
5,Buffalo,2217,5.0,12,138.6
8,Carolina,2088,4.5,21,130.5
9,Chicago,1970,4.2,11,123.1
17,Cincinnati,1745,4.1,11,109.1
23,Cleveland,1593,4.0,12,99.6
30,Dallas,1265,3.6,8,79.1
15,Denver,1832,3.8,12,114.5
22,Detroit,1613,4.1,17,100.8
19,Green Bay,1702,3.9,9,106.4
7,Houston,2123,4.2,19,132.7
21,Indianapolis,1671,3.8,11,104.4
29,Jacksonville,1369,3.8,5,85.6
4,Kansas City,2395,4.8,9,149.7
26,LA Chargers,1461,3.6,4,91.3
18,LA Rams,1714,4.2,5,107.1
16,Miami,1802,4.1,15,112.6
1,Minnesota,2634,5.4,16,164.6
13,NY Giants,1862,4.6,18,116.4
11,NY Jets,1896,3.8,12,118.5
6,New England,2184,4.2,25,136.5
24,New Orleans,1577,4.3,10,98.6
27,Oakland,1420,3.8,4,88.8
12,Philadelphia,1874,4.5,10,117.1
25,Pittsburgh,1537,3.7,8,96.1
3,San Francisco,2491,5.1,17,155.7
2,Seattle,2579,4.8,16,161.2
14,Tampa Bay,1837,4.4,13,114.8
20,Tennessee,1687,4.5,10,105.4
0,Washington,2709,5.2,22,169.3
