Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
28,Arizona,63.0,4152,7.6,22,18,86.0,260
31,Atlanta,63.4,4478,8.2,20,16,88.9,280
22,Baltimore,64.2,3979,7.3,22,11,90.6,249
2,Buffalo,60.3,3292,6.4,16,19,74.5,206
10,Carolina,64.8,3645,7.0,25,14,89.5,228
29,Chicago,66.8,4230,8.1,34,14,101.7,264
19,Cincinnati,60.0,3888,6.6,18,20,75.8,243
7,Cleveland,57.1,3592,6.4,22,21,74.1,225
25,Dallas,66.5,4031,7.5,22,18,88.5,252
8,Denver,62.2,3607,6.0,29,18,82.4,225
12,Detroit,64.7,3706,6.8,23,20,83.0,232
9,Green Bay,59.0,3623,6.9,26,18,82.1,226
20,Houston,58.6,3890,6.7,28,20,80.4,243
11,Indianapolis,58.9,3669,7.2,27,12,88.7,229
21,Jacksonville,65.6,3899,7.7,24,6,99.1,244
1,Kansas City,58.3,3252,6.4,22,6,86.4,203
3,LA Chargers,61.1,3427,6.9,24,7,91.3,214
18,LA Rams,68.1,3861,7.6,18,13,91.8,241
5,Miami,62.9,3557,7.0,27,14,89.7,222
6,Minnesota,66.1,3572,7.1,26,13,92.8,223
17,NY Giants,62.1,3850,8.0,25,17,89.4,241
13,NY Jets,64.1,3746,7.5,31,6,101.5,234
16,New England,59.6,3837,7.2,24,16,84.0,240
24,New Orleans,62.5,4019,7.7,26,12,92.9,251
15,Oakland,63.8,3810,7.4,29,9,96.9,238
30,Philadelphia,58.4,4238,7.8,30,12,91.6,265
26,Pittsburgh,64.5,4049,7.8,30,11,98.3,253
4,San Francisco,58.8,3531,6.8,29,23,79.4,221
0,Seattle,61.7,2970,6.3,17,13,80.4,186
27,Tampa Bay,68.7,4084,7.6,28,14,97.4,255
14,Tennessee,63.7,3773,7.3,28,12,93.6,236
23,Washington,66.5,3990,8.2,35,7,108.3,249
