Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
14,Arizona,56.7,3640,6.7,21,18,76.2,228
7,Atlanta,64.7,3990,7.8,21,12,92.4,249
28,Baltimore,64.0,3030,5.7,20,13,81.4,189
30,Buffalo,60.7,2825,6.5,16,10,82.1,177
27,Carolina,58.5,3077,6.6,22,16,79.8,192
31,Chicago,61.5,2811,6.5,13,12,79.1,176
26,Cincinnati,59.6,3122,6.6,25,12,86.0,195
21,Cleveland,54.4,3228,6.2,15,28,61.4,202
25,Dallas,62.7,3141,6.7,22,13,86.3,196
19,Denver,58.7,3333,6.5,19,22,73.0,208
5,Detroit,65.6,4183,7.8,29,11,98.4,261
24,Green Bay,62.6,3167,6.3,25,18,81.9,198
20,Houston,57.0,3278,6.9,28,17,82.7,205
29,Indianapolis,58.5,2892,6.6,13,9,79.6,181
16,Jacksonville,60.0,3593,7.1,21,13,84.4,225
6,Kansas City,66.9,4104,8.0,26,8,100.8,257
0,LA Chargers,62.8,4431,7.8,28,11,95.1,277
9,LA Rams,61.8,3831,7.8,28,7,98.3,239
17,Miami,62.0,3535,6.3,24,21,78.7,221
10,Minnesota,67.7,3753,7.5,25,8,99.1,235
18,NY Giants,61.3,3479,6.1,20,14,79.8,217
23,NY Jets,63.3,3182,6.9,19,12,86.1,199
1,New England,66.3,4418,7.9,32,8,102.6,276
4,New Orleans,72.0,4189,8.1,23,8,103.9,262
15,Oakland,62.2,3631,6.7,23,14,85.3,227
12,Philadelphia,60.5,3737,7.0,38,9,97.6,234
2,Pittsburgh,65.1,4380,7.7,29,15,94.1,274
8,San Francisco,59.6,3925,7.0,15,15,78.8,245
13,Seattle,61.3,3657,7.2,34,12,94.4,229
3,Tampa Bay,62.5,4366,7.6,26,14,90.6,273
22,Tennessee,61.7,3191,6.8,14,17,77.1,199
11,Washington,64.3,3751,7.6,27,13,93.9,234
