Tm,ReYds,Average,TD,ReYds/G
13,Arizona,3796,11.1,24,237.3
10,Atlanta,3725,10.3,22,232.8
9,Baltimore,3701,11.1,18,231.3
15,Buffalo,3844,10.4,14,240.3
21,Carolina,3969,11.3,25,248.1
6,Chicago,3653,10.7,18,228.3
7,Cincinnati,3657,10.9,20,228.6
16,Cleveland,3881,10.8,28,242.6
11,Dallas,3746,10.1,28,234.1
2,Denver,3385,11.5,29,211.6
26,Detroit,4120,11.3,21,257.5
23,Green Bay,4041,11.6,30,252.6
22,Houston,3999,12.5,30,249.9
27,Indianapolis,4123,12.9,23,257.7
0,Jacksonville,3074,10.6,17,192.1
28,Kansas City,4131,12.7,23,258.2
3,LA Chargers,3417,10.4,17,213.6
14,LA Rams,3799,11.7,21,237.4
12,Miami,3788,11.2,26,236.8
1,Minnesota,3329,10.3,13,208.1
29,NY Giants,4199,12.1,32,262.4
19,NY Jets,3904,11.9,30,244.0
31,New England,4319,11.8,24,269.9
18,New Orleans,3884,11.8,22,242.8
24,Oakland,4046,11.2,24,252.9
17,Philadelphia,3883,10.7,24,242.7
4,Pittsburgh,3610,12.2,20,225.6
20,San Francisco,3943,11.5,27,246.4
5,Seattle,3616,11.1,19,226.0
30,Tampa Bay,4306,11.6,22,269.1
25,Tennessee,4100,11.1,27,256.3
8,Washington,3692,12.1,23,230.8
