Tm,Yds,RYds/A,TD,RYds/G
17,Arizona,1732,4.3,20,108.3
4,Atlanta,1928,4.6,20,120.5
27,Baltimore,1463,4.0,10,91.4
0,Buffalo,2630,5.3,29,164.4
9,Carolina,1814,4.0,16,113.4
16,Chicago,1735,4.6,10,108.4
12,Cincinnati,1769,4.0,17,110.6
18,Cleveland,1712,4.9,13,107.0
1,Dallas,2396,4.8,24,149.8
26,Denver,1484,3.6,11,92.8
29,Detroit,1310,3.7,9,81.9
19,Green Bay,1701,4.5,11,106.3
7,Houston,1859,4.1,8,116.2
22,Indianapolis,1628,4.0,13,101.8
21,Jacksonville,1631,4.2,8,101.9
14,Kansas City,1748,4.2,15,109.3
25,LA Chargers,1510,3.8,10,94.4
30,LA Rams,1252,3.3,9,78.3
8,Miami,1824,4.5,14,114.0
31,Minnesota,1205,3.2,9,75.3
28,NY Giants,1412,3.5,6,88.3
11,NY Jets,1802,4.3,10,112.6
6,New England,1872,3.9,19,117.0
15,New Orleans,1742,4.3,17,108.9
5,Oakland,1922,4.4,17,120.1
10,Philadelphia,1813,4.1,16,113.3
13,Pittsburgh,1760,4.3,13,110.0
3,San Francisco,2019,4.4,15,126.2
24,Seattle,1591,3.9,13,99.4
23,Tampa Bay,1616,3.6,8,101.0
2,Tennessee,2187,4.6,16,136.7
20,Washington,1696,4.5,17,106.0
