Tm,Yds,RYds/A,TD,RYds/G
5,Arizona,1460,3.9,9,91.3
13,Atlanta,1680,4.0,20,105.0
11,Baltimore,1661,4.0,10,103.8
15,Buffalo,1730,4.4,10,108.1
3,Carolina,1415,3.9,11,88.4
21,Chicago,1934,4.5,9,120.9
6,Cincinnati,1477,4.3,8,92.3
29,Cleveland,2055,4.5,11,128.4
22,Dallas,1934,4.2,16,120.9
2,Denver,1337,3.3,10,83.6
18,Detroit,1805,4.2,18,112.8
20,Green Bay,1905,4.5,13,119.1
9,Houston,1597,4.1,10,99.8
24,Indianapolis,1952,4.3,14,122.0
14,Jacksonville,1709,3.7,15,106.8
7,Kansas City,1571,4.1,7,98.2
26,LA Chargers,2005,4.8,17,125.3
19,LA Rams,1820,4.0,7,113.8
27,Miami,2019,4.0,13,126.2
16,Minnesota,1748,4.3,7,109.3
23,NY Giants,1942,4.4,15,121.4
1,NY Jets,1335,3.6,4,83.4
8,New England,1580,4.0,8,98.8
30,New Orleans,2076,4.9,12,129.8
12,Oakland,1678,4.1,12,104.9
31,Philadelphia,2153,4.5,10,134.6
4,Pittsburgh,1459,3.8,6,91.2
28,San Francisco,2020,4.0,20,126.3
0,Seattle,1304,3.6,10,81.5
10,Tampa Bay,1606,3.4,12,100.4
17,Tennessee,1797,3.9,11,112.3
25,Washington,1962,4.8,10,122.6
