Tm,Yds,Yds/G,PYds,PYds/G,RYds,RYds/G,PTS,PTS/G
5,Arizona,5079,317.4,3728,233.0,1351,84.4,324,20.3
26,Atlanta,6070,379.4,3897,243.6,2173,135.8,443,27.7
11,Baltimore,5368,335.5,3681,230.1,1687,105.4,352,22.0
9,Buffalo,5334,333.4,3271,204.4,2063,128.9,388,24.3
1,Carolina,4820,301.3,3429,214.3,1391,86.9,241,15.1
29,Chicago,6313,394.6,3730,233.1,2583,161.4,478,29.9
2,Cincinnati,4888,305.5,3344,209.0,1544,96.5,305,19.1
8,Cleveland,5319,332.4,3538,221.1,1781,111.3,406,25.4
31,Dallas,6645,415.3,4589,286.8,2056,128.5,432,27.0
18,Denver,5696,356.0,4070,254.4,1626,101.6,399,24.9
15,Detroit,5546,346.6,3950,246.9,1596,99.8,376,23.5
24,Green Bay,5956,372.3,3956,247.3,2000,125.0,428,26.8
6,Houston,5081,317.6,3123,195.2,1958,122.4,428,26.8
19,Indianapolis,5713,357.1,3711,231.9,2002,125.1,336,21.0
27,Jacksonville,6070,379.4,3962,247.6,2108,131.8,449,28.1
23,Kansas City,5885,367.8,3962,247.6,1923,120.2,305,19.1
22,LA Chargers,5864,366.5,4139,258.7,1725,107.8,348,21.8
14,LA Rams,5520,345.0,3874,242.1,1646,102.9,364,22.8
20,Miami,5750,359.4,3752,234.5,1998,124.9,335,20.9
30,Minnesota,6362,397.6,4595,287.2,1767,110.4,480,30.0
7,NY Giants,5316,332.3,3573,223.3,1743,108.9,383,23.9
10,NY Jets,5359,334.9,3947,246.7,1412,88.3,387,24.2
25,New England,5969,373.1,3824,239.0,2145,134.1,338,21.1
3,New Orleans,4891,305.7,3105,194.1,1786,111.6,304,19.0
21,Oakland,5819,363.7,4092,255.8,1727,107.9,453,28.3
28,Philadelphia,6304,394.0,4636,289.8,1668,104.3,382,23.9
12,Pittsburgh,5402,337.6,3553,222.1,1849,115.6,370,23.1
4,San Francisco,5071,316.9,3536,221.0,1535,95.9,272,17.0
0,Seattle,4378,273.6,2752,172.0,1626,101.6,231,14.4
16,Tampa Bay,5568,348.0,3806,237.9,1762,110.1,389,24.3
13,Tennessee,5407,337.9,3612,225.8,1795,112.2,381,23.8
17,Washington,5665,354.1,3896,243.5,1769,110.6,478,29.9
