Tm,ReYds,Average,TD,ReYds/G
16,Arizona,4065,11.1,29,254.1
17,Atlanta,4128,12.1,31,258.0
12,Baltimore,3938,12.5,25,246.1
4,Buffalo,3666,11.8,28,229.1
10,Carolina,3853,10.3,17,240.8
11,Chicago,3919,12.4,25,244.9
3,Cincinnati,3623,10.0,22,226.4
5,Cleveland,3723,10.3,29,232.7
29,Dallas,4835,12.0,33,302.2
27,Denver,4360,12.2,29,272.5
23,Detroit,4199,12.4,24,262.4
22,Green Bay,4194,12.6,30,262.1
1,Houston,3310,11.5,29,206.9
13,Indianapolis,3959,12.2,21,247.4
20,Jacksonville,4187,11.8,29,261.7
25,Kansas City,4271,12.8,25,266.9
28,LA Chargers,4387,12.1,23,274.2
24,LA Rams,4200,11.8,21,262.5
14,Miami,4024,11.7,17,251.5
30,Minnesota,4869,11.6,37,304.3
7,NY Giants,3787,10.5,21,236.7
21,NY Jets,4189,12.1,26,261.8
19,New England,4137,12.3,25,258.6
2,New Orleans,3441,11.3,20,215.1
26,Oakland,4352,11.6,33,272.0
31,Philadelphia,4907,12.0,25,306.7
6,Pittsburgh,3751,11.4,21,234.4
8,San Francisco,3819,11.1,19,238.7
0,Seattle,3050,9.9,16,190.6
15,Tampa Bay,4061,11.5,30,253.8
9,Tennessee,3839,11.2,15,239.9
18,Washington,4134,12.3,29,258.4
