Tm,ReYds,Average,TD,ReYds/G
26,Arizona,3383,10.0,11,211.4
4,Atlanta,4719,11.2,32,294.9
13,Baltimore,3996,12.0,22,249.8
24,Buffalo,3430,11.1,24,214.4
15,Carolina,3927,13.8,19,245.4
27,Chicago,3298,11.5,21,206.1
16,Cincinnati,3807,11.4,28,237.9
19,Cleveland,3668,11.2,16,229.3
2,Dallas,4992,11.5,29,312.0
5,Denver,4671,11.6,37,291.9
1,Detroit,5139,11.5,22,321.2
7,Green Bay,4342,11.6,40,271.4
11,Houston,4046,11.4,22,252.9
6,Indianapolis,4374,12.9,23,273.4
18,Jacksonville,3746,11.4,20,234.1
30,Kansas City,2937,10.8,8,183.6
21,LA Chargers,3606,10.7,26,225.4
17,LA Rams,3783,11.4,22,236.4
25,Miami,3425,11.7,13,214.1
31,Minnesota,2935,9.8,18,183.4
14,NY Giants,3967,12.3,26,247.9
29,NY Jets,3178,11.7,14,198.6
3,New England,4844,12.1,34,302.8
0,New Orleans,5187,12.3,43,324.2
8,Oakland,4292,11.4,24,268.3
10,Philadelphia,4075,11.1,18,254.7
12,Pittsburgh,4012,11.3,27,250.8
23,San Francisco,3551,12.3,23,221.9
28,Seattle,3234,12.5,27,202.1
9,Tampa Bay,4144,13.3,27,259.0
22,Tennessee,3577,11.2,17,223.6
20,Washington,3666,12.6,24,229.1
