Tm,Yds,RYds/A,TD,RYds/G
30,Arizona,1308,3.3,6,81.8
23,Atlanta,1498,4.0,11,93.6
7,Baltimore,2019,4.5,16,126.2
24,Buffalo,1482,3.7,7,92.6
6,Carolina,2036,4.3,10,127.3
26,Chicago,1441,4.1,8,90.1
5,Cincinnati,2147,4.4,19,134.2
16,Cleveland,1728,3.6,17,108.0
1,Dallas,2354,4.6,16,147.1
14,Denver,1785,4.0,15,111.6
27,Detroit,1422,3.6,11,88.9
10,Green Bay,1917,4.4,14,119.8
4,Houston,2161,3.9,12,135.1
21,Indianapolis,1612,3.9,9,100.8
20,Jacksonville,1633,4.5,9,102.1
9,Kansas City,1918,4.6,18,119.9
29,LA Chargers,1367,3.4,6,85.4
19,LA Rams,1635,4.1,11,102.2
11,Miami,1872,4.7,12,117.0
13,Minnesota,1804,4.4,12,112.8
22,NY Giants,1603,3.6,13,100.2
2,NY Jets,2280,4.5,11,142.5
17,New England,1727,3.9,13,107.9
12,New Orleans,1818,4.5,16,113.6
31,Oakland,1240,3.7,4,77.5
8,Philadelphia,1992,4.2,16,124.5
15,Pittsburgh,1752,4.1,10,109.5
3,San Francisco,2176,4.6,10,136.0
0,Seattle,2762,5.3,20,172.6
28,Tampa Bay,1375,3.9,7,85.9
25,Tennessee,1447,4.1,6,90.4
18,Washington,1691,4.2,15,105.7
