Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
7,Arizona,59.9,3687,6.9,24,19,80.9,230
17,Atlanta,66.0,3882,7.1,19,15,86.9,243
9,Baltimore,64.2,3737,7.3,30,6,99.6,234
18,Buffalo,57.6,3972,6.8,30,17,83.3,248
10,Carolina,60.0,3752,6.2,21,24,73.5,235
3,Chicago,62.9,3593,7.5,31,8,99.3,225
19,Cincinnati,64.2,3976,6.6,18,21,78.9,249
21,Cleveland,63.0,4012,8.2,34,11,101.8,251
4,Dallas,65.2,3636,7.6,19,8,94.2,227
0,Denver,60.0,3193,6.2,19,14,78.8,200
14,Detroit,68.2,3789,7.7,27,9,100.9,237
5,Green Bay,58.3,3642,7.1,20,16,80.1,228
2,Houston,59.0,3366,6.6,24,14,82.8,210
23,Indianapolis,60.5,4114,7.5,29,17,88.0,257
28,Jacksonville,64.8,4291,7.5,29,9,97.2,268
8,Kansas City,57.5,3698,6.6,25,22,76.0,231
13,LA Chargers,64.3,3786,7.9,22,11,93.8,237
22,LA Rams,66.8,4065,7.2,21,13,90.4,254
20,Miami,64.6,4000,7.8,31,13,97.4,250
11,Minnesota,64.0,3759,7.2,24,13,90.0,235
31,NY Giants,66.3,4783,7.7,31,15,95.9,299
12,NY Jets,57.1,3763,6.7,25,18,79.0,235
16,New England,60.6,3851,7.1,24,12,87.0,241
30,New Orleans,68.4,4544,8.7,45,9,116.2,284
25,Oakland,63.0,4140,6.8,25,14,86.8,259
27,Philadelphia,62.2,4273,7.1,36,15,92.8,267
29,Pittsburgh,64.3,4350,7.5,29,17,90.9,272
26,San Francisco,68.3,4179,8.0,21,9,98.1,261
1,Seattle,60.8,3364,6.6,14,14,78.1,210
15,Tampa Bay,70.0,3840,7.5,31,11,102.5,240
6,Tennessee,63.5,3678,7.9,34,11,101.3,230
24,Washington,62.5,4128,7.8,30,11,96.1,258
