Tm,Yds,RYds/A,TD,RYds/G
8,Arizona,1518,3.6,16,94.9
16,Atlanta,1672,4.5,15,104.5
4,Baltimore,1430,3.7,10,89.4
28,Buffalo,2130,4.6,21,133.1
5,Carolina,1465,3.9,11,91.6
26,Chicago,1950,4.4,18,121.9
20,Cincinnati,1812,4.4,12,113.3
30,Cleveland,2283,4.6,18,142.7
0,Dallas,1336,3.9,9,83.5
27,Denver,2085,4.3,15,130.3
17,Detroit,1701,4.4,8,106.3
7,Green Bay,1515,4.0,11,94.7
11,Houston,1595,4.0,13,99.7
24,Indianapolis,1926,4.7,12,120.4
18,Jacksonville,1703,3.8,17,106.4
25,Kansas City,1938,4.4,10,121.1
9,LA Chargers,1567,3.8,20,97.9
15,LA Rams,1660,3.9,12,103.8
29,Miami,2247,4.8,12,140.4
19,Minnesota,1711,4.2,9,106.9
3,NY Giants,1417,3.6,10,88.6
10,NY Jets,1581,3.7,11,98.8
2,New England,1417,3.9,6,88.6
13,New Orleans,1626,4.1,19,101.6
22,Oakland,1881,4.5,18,117.6
14,Philadelphia,1652,4.2,10,103.3
12,Pittsburgh,1600,4.3,15,100.0
31,San Francisco,2654,4.8,25,165.9
6,Seattle,1487,3.4,16,92.9
21,Tampa Bay,1875,4.4,15,117.2
1,Tennessee,1413,4.0,10,88.3
23,Washington,1916,4.5,19,119.8
