Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
12,Arizona,63.2,4002,7.5,24,22,83.9,250
6,Atlanta,67.5,4243,6.9,26,17,89.5,265
17,Baltimore,58.6,3590,6.3,19,23,72.0,224
27,Buffalo,57.3,3103,6.5,16,15,75.0,194
28,Carolina,61.7,3043,7.1,24,13,88.8,190
4,Chicago,64.4,4281,7.7,32,13,96.9,268
7,Cincinnati,62.0,4136,7.4,33,20,89.0,259
10,Cleveland,55.7,4047,6.4,26,20,75.7,253
13,Dallas,64.0,3954,7.2,33,12,95.7,247
0,Denver,68.3,5444,8.3,55,10,114.4,340
2,Detroit,58.5,4482,7.3,29,19,84.2,280
5,Green Bay,64.2,4268,8.0,25,16,91.7,267
14,Houston,58.6,3813,6.6,19,22,74.0,238
16,Indianapolis,60.1,3725,6.8,23,10,86.5,233
21,Jacksonville,59.0,3441,6.3,16,21,71.8,215
23,Kansas City,61.0,3340,6.5,24,8,88.6,209
3,LA Chargers,69.5,4328,8.2,32,11,105.5,271
26,LA Rams,59.5,3125,6.6,22,11,84.8,195
19,Miami,60.1,3567,6.7,24,19,80.1,223
22,Minnesota,59.5,3427,6.7,18,19,76.0,214
18,NY Giants,57.3,3588,6.8,18,29,67.6,224
30,NY Jets,55.4,2932,6.8,13,22,66.6,183
9,New England,60.5,4087,6.9,25,11,87.3,255
1,New Orleans,68.5,4918,7.9,39,12,104.5,307
24,Oakland,57.4,3340,7.0,17,20,73.9,209
8,Philadelphia,61.0,4110,8.7,32,9,102.7,257
11,Pittsburgh,64.3,4017,7.3,28,14,92.3,251
29,San Francisco,58.5,2979,7.7,21,8,91.7,186
25,Seattle,63.6,3236,8.4,27,9,102.4,202
31,Tampa Bay,56.6,2820,6.2,22,12,79.6,176
20,Tennessee,61.5,3496,7.0,22,16,83.6,219
15,Washington,58.1,3751,6.6,20,19,76.1,234
