Tm,ReYds,Average,TD,ReYds/G
6,Arizona,4425,11.6,28,276.6
1,Atlanta,4960,13.3,38,310.0
10,Baltimore,4343,9.9,20,271.4
30,Buffalo,3250,11.4,17,203.1
18,Carolina,3962,12.9,21,247.6
14,Chicago,4139,11.9,19,258.7
12,Cincinnati,4206,11.6,18,262.9
26,Cleveland,3693,10.9,15,230.8
22,Dallas,3799,11.7,25,237.4
20,Denver,3914,11.5,20,244.6
11,Detroit,4327,11.2,24,270.4
5,Green Bay,4445,11.0,40,277.8
28,Houston,3418,9.9,15,213.6
3,Indianapolis,4491,12.1,32,280.7
19,Jacksonville,3925,10.6,24,245.3
21,Kansas City,3914,10.7,19,244.6
8,LA Chargers,4386,12.6,33,274.1
29,LA Rams,3313,10.6,14,207.1
25,Miami,3716,11.8,27,232.3
16,Minnesota,4119,9.9,20,257.4
17,NY Giants,4027,10.7,26,251.7
27,NY Jets,3645,11.7,16,227.8
4,New England,4456,12.1,32,278.5
0,New Orleans,5258,11.1,38,328.6
15,Oakland,4137,10.9,29,258.6
23,Philadelphia,3798,10.0,16,237.4
9,Pittsburgh,4377,11.5,33,273.6
31,San Francisco,3166,11.0,21,197.9
7,Seattle,4422,12.0,23,276.4
13,Tampa Bay,4165,11.7,29,260.3
24,Tennessee,3720,12.1,29,232.5
2,Washington,4948,12.2,25,309.3
