Tm,ReYds,Average,TD,ReYds/G
28,Arizona,4396,12.0,22,274.8
31,Atlanta,4618,12.9,20,288.6
27,Baltimore,4341,11.4,22,271.3
2,Buffalo,3600,10.7,16,225.0
10,Carolina,3913,10.8,25,244.6
29,Chicago,4458,12.2,34,278.6
15,Cincinnati,4013,11.0,18,250.8
6,Cleveland,3783,11.3,22,236.4
22,Dallas,4187,11.3,22,261.7
8,Denver,3859,9.7,29,241.2
14,Detroit,4001,10.4,23,250.1
9,Green Bay,3884,11.7,26,242.8
19,Houston,4141,11.4,28,258.8
11,Indianapolis,3932,12.3,27,245.8
21,Jacksonville,4174,11.8,24,260.9
1,Kansas City,3505,11.0,22,219.1
3,LA Chargers,3605,11.3,24,225.3
18,LA Rams,4126,11.2,18,257.9
5,Miami,3768,11.1,27,235.5
7,Minnesota,3789,10.7,26,236.8
20,NY Giants,4163,12.8,25,260.2
16,NY Jets,4056,11.8,31,253.5
17,New England,4119,12.0,24,257.4
23,New Orleans,4207,12.3,26,262.9
12,Oakland,3967,11.6,29,247.9
30,Philadelphia,4595,13.3,30,287.2
25,Pittsburgh,4243,12.1,30,265.2
4,San Francisco,3731,11.5,29,233.2
0,Seattle,3204,10.2,17,200.3
26,Tampa Bay,4294,11.1,28,268.4
13,Tennessee,3995,11.5,28,249.7
24,Washington,4231,12.3,35,264.4
