Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
13,Arizona,56.3,3808,7.0,21,12,81.8,238
4,Atlanta,66.1,4553,7.5,28,15,93.4,285
12,Baltimore,62.1,3819,7.2,27,12,91.0,239
17,Buffalo,62.7,3614,6.7,23,13,86.0,226
18,Carolina,60.0,3511,7.0,23,12,86.2,219
14,Chicago,65.0,3792,6.6,30,19,87.3,237
20,Cincinnati,64.2,3421,7.1,20,17,84.2,214
19,Cleveland,54.6,3465,7.3,12,16,72.8,217
15,Dallas,68.9,3784,8.4,37,11,110.9,237
3,Denver,65.7,4661,7.9,40,15,101.3,291
11,Detroit,60.4,4030,7.1,22,12,85.9,252
7,Green Bay,65.1,4261,8.3,38,6,109.9,266
23,Houston,60.8,3352,7.1,22,13,86.4,210
0,Indianapolis,62.0,4894,7.7,42,16,96.8,306
30,Jacksonville,58.3,3001,6.2,15,18,72.0,188
28,Kansas City,64.9,3182,7.0,18,6,92.2,199
9,LA Chargers,66.2,4098,7.5,31,18,93.4,256
22,LA Rams,63.5,3400,7.2,20,16,84.9,213
16,Miami,66.2,3729,6.8,27,12,92.5,233
27,Minnesota,62.3,3244,6.9,17,18,79.2,203
6,NY Giants,63.1,4272,7.4,30,14,92.2,267
31,NY Jets,57.6,2946,6.4,16,15,75.1,184
8,New England,64.4,4121,7.0,34,9,97.5,258
2,New Orleans,69.2,4764,7.5,33,17,97.0,298
25,Oakland,58.0,3275,5.5,22,16,74.4,205
5,Philadelphia,61.8,4356,7.4,27,21,84.8,272
1,Pittsburgh,67.2,4825,8.2,33,10,103.2,302
29,San Francisco,60.0,3063,7.0,20,10,86.3,191
26,Seattle,63.2,3250,7.7,20,7,95.1,203
24,Tampa Bay,56.7,3297,6.8,21,20,75.2,206
21,Tennessee,58.3,3412,7.3,20,16,81.0,213
10,Washington,66.5,4047,8.2,18,18,88.8,253
