Tm,ReYds,Average,TD,ReYds/G
12,Arizona,4291,11.8,24,268.2
3,Atlanta,4541,10.2,26,283.8
18,Baltimore,3914,10.8,19,244.6
27,Buffalo,3373,11.3,16,210.8
26,Carolina,3379,11.6,24,211.2
6,Chicago,4450,11.9,32,278.1
10,Cincinnati,4318,11.9,33,269.9
8,Cleveland,4372,11.5,26,273.3
13,Dallas,4226,11.3,33,264.1
0,Denver,5572,12.1,55,348.3
2,Detroit,4650,12.5,29,290.6
4,Green Bay,4538,12.4,25,283.6
14,Houston,4183,11.3,19,261.4
17,Indianapolis,3952,11.3,23,247.0
20,Jacksonville,3751,10.7,16,234.4
24,Kansas City,3561,10.7,24,222.6
5,LA Chargers,4478,11.8,32,279.9
28,LA Rams,3360,11.2,22,210.0
16,Miami,3966,11.1,24,247.9
22,Minnesota,3645,11.2,18,227.8
19,NY Giants,3875,11.9,18,242.2
29,NY Jets,3270,12.3,13,204.4
9,New England,4343,11.4,25,271.4
1,New Orleans,5162,11.6,39,322.6
23,Oakland,3629,12.2,17,226.8
7,Philadelphia,4406,14.2,32,275.4
11,Pittsburgh,4306,11.4,28,269.1
30,San Francisco,3210,13.2,21,200.6
25,Seattle,3508,13.1,27,219.3
31,Tampa Bay,3181,10.9,22,198.8
21,Tennessee,3710,11.3,22,231.9
15,Washington,4057,11.4,20,253.6
