Winner,@,Loser,PtsW,PtsL,YdsW,TOW,YdsL,TOL
1,Dallas Cowboys,@,New York Giants,24,17,433,1,269,1
2,Chicago Bears,,Indianapolis Colts,41,21,428,1,356,5
3,Houston Texans,,Miami Dolphins,30,10,337,0,275,4
4,Atlanta Falcons,@,Kansas City Chiefs,40,24,376,0,393,3
5,New York Jets,,Buffalo Bills,48,28,384,1,390,4
6,Washington Redskins,@,New Orleans Saints,40,32,459,0,358,3
7,New England Patriots,@,Tennessee Titans,34,13,390,0,284,2
8,Detroit Lions,,St. Louis Rams,27,23,429,3,250,0
9,Philadelphia Eagles,@,Cleveland Browns,17,16,456,5,210,4
10,Minnesota Vikings,,Jacksonville Jaguars,26,23,389,1,355,1
11,Arizona Cardinals,,Seattle Seahawks,20,16,253,2,254,2
12,San Francisco 49ers,@,Green Bay Packers,30,22,377,0,324,1
13,Tampa Bay Buccaneers,,Carolina Panthers,16,10,258,0,301,2
14,Denver Broncos,,Pittsburgh Steelers,31,19,334,1,284,1
15,Baltimore Ravens,,Cincinnati Bengals,44,13,430,0,322,2
16,San Diego Chargers,@,Oakland Raiders,22,14,258,0,321,1
18,Green Bay Packers,,Chicago Bears,23,10,321,2,168,4
19,Cincinnati Bengals,,Cleveland Browns,34,27,375,1,439,1
20,Miami Dolphins,,Oakland Raiders,35,13,452,0,396,1
21,Buffalo Bills,,Kansas City Chiefs,35,17,379,0,422,3
22,Arizona Cardinals,@,New England Patriots,20,18,242,2,387,1
23,Indianapolis Colts,,Minnesota Vikings,23,20,278,0,327,1
24,Philadelphia Eagles,,Baltimore Ravens,24,23,486,4,325,2
25,Houston Texans,@,Jacksonville Jaguars,27,7,411,0,117,1
26,New York Giants,,Tampa Bay Buccaneers,41,34,604,3,307,2
27,Carolina Panthers,,New Orleans Saints,35,27,463,1,486,2
28,St. Louis Rams,,Washington Redskins,31,28,452,3,373,1
29,Seattle Seahawks,,Dallas Cowboys,27,7,315,0,296,2
30,Pittsburgh Steelers,,New York Jets,27,10,331,0,219,1
31,San Diego Chargers,,Tennessee Titans,38,10,416,1,212,1
