Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
13,Arizona,60.8,3541,6.7,24,15,83.9,221
11,Atlanta,65.5,3429,6.7,22,8,91.9,214
9,Baltimore,58.5,3421,6.5,18,22,72.4,214
19,Buffalo,64.6,3688,6.7,14,18,78.9,231
17,Carolina,63.8,3665,7.2,25,10,92.9,229
6,Chicago,64.8,3376,6.9,18,8,89.9,211
7,Cincinnati,59.9,3379,6.5,20,11,82.9,211
18,Cleveland,68.6,3684,7.4,28,7,102.2,230
10,Dallas,66.4,3425,6.7,28,10,94.6,214
3,Denver,59.9,3210,6.9,29,10,91.9,201
26,Detroit,64.2,3892,7.2,21,19,84.1,243
22,Green Bay,67.8,3789,7.9,30,11,102.0,237
23,Houston,64.1,3799,8.0,30,11,99.5,237
27,Indianapolis,62.4,3946,8.0,23,13,91.9,247
0,Jacksonville,56.8,2718,6.0,17,21,68.5,170
28,Kansas City,57.0,3952,7.2,23,16,81.5,247
2,LA Chargers,62.8,3156,6.5,17,18,78.1,197
12,LA Rams,58.4,3475,6.8,21,18,78.4,217
15,Miami,64.2,3603,7.2,26,9,94.8,225
1,Minnesota,58.4,3078,6.0,13,14,73.0,192
30,NY Giants,61.9,4038,7.5,32,13,94.2,252
20,NY Jets,59.0,3749,7.0,30,11,90.1,234
29,New England,62.2,4020,7.3,24,12,89.5,251
14,New Orleans,59.4,3597,7.0,22,20,79.0,225
25,Oakland,68.1,3858,7.6,24,5,101.8,241
16,Philadelphia,60.4,3637,6.5,24,19,79.5,227
4,Pittsburgh,59.5,3217,7.2,20,16,81.8,201
21,San Francisco,63.2,3764,7.2,27,10,93.9,235
5,Seattle,58.7,3347,6.5,19,14,79.1,209
31,Tampa Bay,67.6,4169,7.8,22,13,94.6,261
24,Tennessee,61.0,3828,6.8,27,12,87.8,239
8,Washington,57.6,3420,7.0,23,16,81.0,214
