Tm,ReYds,Average,TD,ReYds/G
11,Arizona,3979,11.7,21,248.7
8,Atlanta,4146,12.1,21,259.1
28,Baltimore,3235,8.9,20,202.2
30,Buffalo,3086,10.7,16,192.9
27,Carolina,3319,11.3,22,207.4
31,Chicago,3085,10.6,13,192.8
25,Cincinnati,3386,11.1,25,211.6
21,Cleveland,3537,11.3,15,221.1
26,Dallas,3326,10.8,22,207.9
19,Denver,3668,11.0,19,229.3
4,Detroit,4470,12.0,29,279.4
22,Green Bay,3532,10.0,25,220.8
20,Houston,3644,12.2,28,227.8
29,Indianapolis,3226,11.3,13,201.6
17,Jacksonville,3716,11.8,21,232.3
6,Kansas City,4326,11.9,26,270.4
2,LA Chargers,4551,12.4,28,284.4
10,LA Rams,4023,12.6,28,251.4
15,Miami,3792,10.2,24,237.0
14,Minnesota,3929,11.0,25,245.6
18,NY Giants,3680,9.9,20,230.0
23,NY Jets,3501,10.8,19,218.8
0,New England,4619,11.9,32,288.7
5,New Orleans,4334,11.2,23,270.9
16,Oakland,3761,10.8,23,235.1
13,Philadelphia,3967,11.6,38,247.9
3,Pittsburgh,4534,11.8,29,283.4
7,San Francisco,4235,11.7,15,264.7
12,Seattle,3979,11.7,34,248.7
1,Tampa Bay,4607,12.2,26,287.9
24,Tennessee,3394,11.1,14,212.1
9,Washington,4093,11.8,27,255.8
