Tm,ReYds,Average,TD,ReYds/G
15,Arizona,3990,12.5,21,249.4
4,Atlanta,4758,11.4,28,297.4
16,Baltimore,3986,11.6,27,249.1
17,Buffalo,3856,10.6,23,241.0
18,Carolina,3828,11.7,23,239.3
13,Chicago,4035,10.2,30,252.2
24,Cincinnati,3551,11.0,20,221.9
21,Cleveland,3678,13.4,12,229.9
14,Dallas,4008,12.2,37,250.5
3,Denver,4779,12.0,40,298.7
11,Detroit,4284,11.7,22,267.8
8,Green Bay,4447,12.7,38,277.9
26,Houston,3460,11.7,22,216.3
0,Indianapolis,5062,12.3,42,316.4
28,Jacksonville,3451,10.6,15,215.7
29,Kansas City,3428,10.7,18,214.3
9,LA Chargers,4296,11.3,31,268.5
20,LA Rams,3695,11.3,20,230.9
12,Miami,4066,10.3,27,254.1
23,Minnesota,3566,11.1,17,222.9
6,NY Giants,4470,11.7,30,279.4
31,NY Jets,3206,11.2,16,200.4
10,New England,4291,10.9,34,268.2
2,New Orleans,4952,10.9,33,309.5
27,Oakland,3456,9.5,22,216.0
5,Philadelphia,4581,11.9,27,286.3
1,Pittsburgh,4997,12.2,33,312.3
30,San Francisco,3407,11.7,20,212.9
25,Seattle,3492,12.2,20,218.3
22,Tampa Bay,3623,12.0,21,226.4
19,Tennessee,3738,12.5,20,233.6
7,Washington,4461,12.3,18,278.8
