Tm,ReYds,Average,TD,ReYds/G
7,Arizona,3957,11.5,24,247.3
10,Atlanta,3999,10.8,19,249.9
8,Baltimore,3957,11.3,30,247.3
17,Buffalo,4097,11.8,30,256.1
14,Carolina,4054,10.4,21,253.4
3,Chicago,3830,11.9,31,239.4
21,Cincinnati,4264,10.3,18,266.5
18,Cleveland,4169,12.9,34,260.6
4,Dallas,3865,11.7,19,241.6
0,Denver,3544,10.3,19,221.5
15,Detroit,4065,11.3,27,254.1
5,Green Bay,3898,12.1,20,243.6
2,Houston,3677,11.3,24,229.8
24,Indianapolis,4365,12.3,29,272.8
28,Jacksonville,4528,11.6,29,283.0
9,Kansas City,3988,11.4,25,249.3
11,LA Chargers,4008,12.2,22,250.5
22,LA Rams,4301,10.8,21,268.8
20,Miami,4225,12.1,31,264.1
13,Minnesota,4042,11.3,24,252.6
31,NY Giants,4920,11.6,31,307.5
12,NY Jets,4041,11.8,25,252.6
19,New England,4209,11.7,24,263.1
30,New Orleans,4755,12.8,45,297.2
23,Oakland,4351,10.8,25,271.9
27,Philadelphia,4516,11.5,36,282.3
29,Pittsburgh,4661,11.6,29,291.3
25,San Francisco,4375,11.7,21,273.4
1,Seattle,3619,10.9,14,226.2
16,Tampa Bay,4072,10.8,31,254.5
6,Tennessee,3949,12.4,34,246.8
26,Washington,4392,12.4,30,274.5
