Tm,Yds,RYds/A,TD,RYds/G
5,Arizona,1434,3.5,12,89.6
8,Atlanta,1665,4.1,9,104.1
14,Baltimore,1780,4.1,12,111.3
28,Buffalo,1994,4.3,22,124.6
2,Carolina,1409,4.0,7,88.1
10,Chicago,1730,4.0,10,108.1
29,Cincinnati,2046,4.2,13,127.9
6,Cleveland,1566,3.4,14,97.9
7,Dallas,1664,4.1,7,104.0
4,Denver,1430,3.3,9,89.4
17,Detroit,1800,4.2,18,112.5
16,Green Bay,1793,3.9,10,112.1
12,Houston,1747,4.0,14,109.2
25,Indianapolis,1927,3.9,15,120.4
20,Jacksonville,1860,4.3,9,116.3
24,Kansas City,1890,4.3,15,118.1
30,LA Chargers,2098,4.9,11,131.1
27,LA Rams,1959,4.7,15,122.4
13,Miami,1768,4.1,14,110.5
1,Minnesota,1337,3.7,10,83.6
26,NY Giants,1933,4.2,10,120.8
23,NY Jets,1887,4.0,13,117.9
19,New England,1836,4.7,6,114.8
15,New Orleans,1787,4.4,11,111.7
11,Oakland,1743,4.0,11,108.9
0,Philadelphia,1267,3.8,7,79.2
9,Pittsburgh,1693,4.4,14,105.8
21,San Francisco,1861,3.8,13,116.3
18,Seattle,1824,4.0,14,114.0
22,Tampa Bay,1880,4.3,17,117.5
3,Tennessee,1420,3.6,5,88.8
31,Washington,2146,4.5,13,134.1
