Tm,Yds,RYds/A,TD,RYds/G
0,Arizona,1351,3.7,5,84.4
30,Atlanta,2173,4.8,14,135.8
10,Baltimore,1687,3.8,7,105.4
27,Buffalo,2063,4.4,10,128.9
1,Carolina,1391,4.0,4,86.9
31,Chicago,2583,5.3,22,161.4
4,Cincinnati,1544,4.0,6,96.5
17,Cleveland,1781,3.9,13,111.3
26,Dallas,2056,4.7,17,128.5
6,Denver,1626,3.9,15,101.6
5,Detroit,1596,4.2,10,99.8
24,Green Bay,2000,4.6,16,125.0
22,Houston,1958,4.3,11,122.4
25,Indianapolis,2002,4.5,14,125.1
28,Jacksonville,2108,4.2,20,131.8
21,Kansas City,1923,4.5,9,120.2
11,LA Chargers,1725,4.6,14,107.8
8,LA Rams,1646,3.7,18,102.9
23,Miami,1998,4.1,14,124.9
15,Minnesota,1767,4.0,14,110.4
13,NY Giants,1743,3.8,12,108.9
2,NY Jets,1412,3.4,9,88.3
29,New England,2145,4.5,11,134.1
18,New Orleans,1786,4.6,11,111.6
12,Oakland,1727,3.9,15,107.9
9,Philadelphia,1668,3.8,12,104.3
20,Pittsburgh,1849,4.3,18,115.6
3,San Francisco,1535,3.9,11,95.9
7,Seattle,1626,3.9,4,101.6
14,Tampa Bay,1762,4.0,10,110.1
19,Tennessee,1795,4.0,21,112.2
16,Washington,1769,4.0,23,110.6
