Tm,Percentage,Yds,PYds/A,TD,Int,Passer Rating,PYds/G
4,Arizona,54.3,3213,6.9,20,22,71.2,201
22,Atlanta,61.2,3878,7.4,14,20,77.1,242
16,Baltimore,60.1,3650,7.0,15,13,80.6,228
9,Buffalo,57.1,3473,6.8,25,12,84.4,217
12,Carolina,66.8,3568,6.9,22,11,91.7,223
7,Chicago,59.1,3423,6.3,19,24,71.3,214
6,Cincinnati,61.8,3400,6.7,16,14,80.7,213
24,Cleveland,63.0,3923,6.9,27,17,86.6,245
18,Dallas,62.6,3684,7.6,22,7,94.7,230
2,Denver,57.4,3194,6.4,25,16,79.4,200
13,Detroit,63.6,3569,7.0,26,11,91.7,223
10,Green Bay,55.1,3492,6.7,24,18,76.8,218
15,Houston,53.0,3612,6.7,29,15,80.0,226
20,Indianapolis,62.4,3788,7.4,23,12,90.1,237
21,Jacksonville,63.7,3832,7.4,21,12,89.8,240
11,Kansas City,60.1,3533,8.0,29,7,99.9,221
17,LA Chargers,61.1,3681,6.9,28,14,87.9,230
14,LA Rams,66.2,3602,7.2,16,17,83.9,225
26,Miami,58.8,3974,7.0,18,10,83.4,248
23,Minnesota,63.9,3908,6.9,28,10,92.3,244
27,NY Giants,63.9,4068,8.1,26,21,88.7,254
1,NY Jets,53.8,3036,6.5,20,11,78.2,190
28,New England,62.1,4342,7.7,27,20,86.9,271
30,New Orleans,61.5,4681,8.1,31,15,93.8,293
19,Oakland,66.0,3775,7.5,28,11,97.5,236
8,Philadelphia,60.2,3470,7.6,33,8,99.6,217
0,Pittsburgh,57.2,2963,6.0,19,10,79.0,185
3,San Francisco,59.4,3203,6.1,19,14,78.0,200
5,Seattle,58.0,3250,6.2,15,18,71.8,203
31,Tampa Bay,65.4,4758,7.9,30,18,93.5,297
25,Tennessee,66.3,3964,7.5,31,19,92.7,248
29,Washington,61.8,4511,7.4,31,21,87.0,282
