Tm,Yds,Yds/G,PYds,PYds/G,RYds,RYds/G,PTS,PTS/G
8,Arizona,5868,366.8,4136,258.5,1732,108.3,418,26.1
1,Atlanta,6653,415.8,4725,295.3,1928,120.5,540,33.8
16,Baltimore,5563,347.7,4100,256.3,1463,91.4,343,21.4
15,Buffalo,5666,354.1,3036,189.8,2630,164.4,399,24.9
18,Carolina,5499,343.7,3685,230.3,1814,113.4,369,23.1
14,Chicago,5704,356.5,3969,248.1,1735,108.4,279,17.4
12,Cincinnati,5711,356.9,3942,246.4,1769,110.6,325,20.3
29,Cleveland,4976,311.0,3264,204.0,1712,107.0,264,16.5
4,Dallas,6027,376.7,3631,226.9,2396,149.8,421,26.3
26,Denver,5169,323.1,3685,230.3,1484,92.8,333,20.8
20,Detroit,5421,338.8,4111,256.9,1310,81.9,346,21.6
7,Green Bay,5900,368.8,4199,262.4,1701,106.3,432,27.0
28,Houston,5035,314.7,3176,198.5,1859,116.2,279,17.4
9,Indianapolis,5830,364.4,4202,262.6,1628,101.8,411,25.7
22,Jacksonville,5359,334.9,3728,233.0,1631,101.9,318,19.9
19,Kansas City,5488,343.0,3740,233.8,1748,109.3,389,24.3
13,LA Chargers,5708,356.8,4198,262.4,1510,94.4,410,25.6
31,LA Rams,4203,262.7,2951,184.4,1252,78.3,224,14.0
23,Miami,5324,332.8,3500,218.8,1824,114.0,363,22.7
27,Minnesota,5041,315.1,3836,239.8,1205,75.3,327,20.4
24,NY Giants,5291,330.7,3879,242.4,1412,88.3,310,19.4
25,NY Jets,5268,329.3,3466,216.6,1802,112.6,275,17.2
3,New England,6180,386.3,4308,269.3,1872,117.0,441,27.6
0,New Orleans,6816,426.0,5074,317.1,1742,108.9,469,29.3
5,Oakland,5973,373.3,4051,253.2,1922,120.1,416,26.0
21,Philadelphia,5398,337.4,3585,224.1,1813,113.3,367,22.9
6,Pittsburgh,5962,372.6,4202,262.6,1760,110.0,399,24.9
30,San Francisco,4930,308.1,2911,181.9,2019,126.2,309,19.3
11,Seattle,5715,357.2,4124,257.8,1591,99.4,354,22.1
17,Tampa Bay,5542,346.4,3926,245.4,1616,101.0,354,22.1
10,Tennessee,5728,358.0,3541,221.3,2187,136.7,381,23.8
2,Washington,6454,403.4,4758,297.4,1696,106.0,396,24.8
