Tm,ReYds,Average,TD,ReYds/G
4,Arizona,4775,13.5,35,298.4
5,Atlanta,4602,11.2,21,287.6
8,Baltimore,4449,10.4,21,278.1
28,Buffalo,3600,12.2,23,225.0
23,Carolina,3873,12.9,35,242.1
24,Chicago,3843,11.5,21,240.2
17,Cincinnati,4104,12.3,31,256.5
15,Cleveland,4156,11.2,20,259.8
26,Dallas,3677,11.0,16,229.8
13,Denver,4216,11.5,19,263.5
7,Detroit,4463,10.6,33,278.9
25,Green Bay,3825,11.0,31,239.1
18,Houston,4079,11.4,29,254.9
21,Indianapolis,3928,11.1,26,245.5
9,Jacksonville,4428,12.5,35,276.8
29,Kansas City,3493,11.3,20,218.3
1,LA Chargers,4855,11.0,30,303.4
31,LA Rams,2931,10.7,11,183.2
12,Miami,4231,11.6,24,264.4
30,Minnesota,3246,11.0,14,202.9
6,NY Giants,4504,11.5,36,281.5
14,NY Jets,4170,11.5,33,260.6
3,New England,4812,11.9,36,300.8
0,New Orleans,5205,11.3,32,325.3
16,Oakland,4129,11.1,34,258.1
10,Philadelphia,4341,10.7,23,271.3
2,Pittsburgh,4822,12.3,26,301.4
27,San Francisco,3646,11.3,16,227.9
19,Seattle,4061,12.2,34,253.8
20,Tampa Bay,4042,13.0,22,252.6
22,Tennessee,3893,11.4,25,243.3
11,Washington,4294,11.1,30,268.4
