Tm,G,PF,Yds,Ply,Y/P,TO,FL,1stD,Cmp,PAtt,PYds,PTD,Int,NY/A,P1stD,RAtt,RYds,RTD,RY/A,1stD,Pen,OPenYds,1stPy,Sc%,OTO%,EXP
Arizona Cardinals,15,201,3667,838,4.4,26,8,227,265,461,2410,14,18,4.8,129,331,1257,9,3.8,72,98,766,26,18.4,14.9,-135.30
Atlanta Falcons,15,380,5737,934,6.1,17,11,325,396,572,4273,33,6,7.0,219,321,1464,10,4.6,77,92,814,29,42.3,10.9,140.46
Baltimore Ravens,15,363,5536,1062,5.2,19,10,343,320,532,3391,18,9,6.0,178,500,2145,17,4.3,137,106,875,28,40.0,10.9,80.00
Buffalo Bills,15,227,4397,948,4.6,31,9,260,254,473,2579,10,22,5.0,128,435,1818,12,4.2,97,113,968,35,25.0,16.1,-117.91
Carolina Panthers,15,343,5598,943,5.9,22,6,331,360,533,3573,26,16,6.3,202,379,2025,15,5.3,106,90,808,23,35.6,12.9,97.48
Chicago Bears,15,397,5170,950,5.4,24,10,314,326,486,3401,28,14,6.6,170,431,1769,13,4.1,100,86,694,44,36.8,14.0,81.75
Cincinnati Bengals,15,355,4776,892,5.4,17,4,295,319,518,3219,27,13,5.8,178,341,1557,13,4.6,87,105,872,30,36.3,10.2,58.45
Cleveland Browns,15,335,5474,967,5.7,21,7,296,330,532,3631,26,14,6.4,173,397,1843,15,4.6,92,108,859,31,31.1,10.5,27.42
Dallas Cowboys,15,303,5082,952,5.3,16,8,299,329,483,3170,18,8,5.9,166,417,1912,12,4.6,109,98,840,24,37.6,10.2,41.41
Denver Broncos,15,320,5232,941,5.6,17,3,301,336,540,3407,18,14,5.9,170,368,1825,18,5.0,100,114,886,31,31.8,9.8,50.55
Detroit Lions,15,293,4834,947,5.1,19,7,300,354,541,3304,19,12,5.7,185,366,1530,10,4.2,84,91,818,31,34.4,11.7,20.74
Green Bay Packers,15,376,5730,970,5.9,14,11,323,373,600,4109,25,3,6.3,203,320,1621,14,5.1,95,103,899,25,41.1,6.5,126.26
Houston Texans,15,382,5460,966,5.7,15,6,310,320,471,3573,26,9,6.8,189,439,1887,10,4.3,86,103,772,35,40.8,8.6,85.34
Indianapolis Colts,15,400,5743,998,5.8,22,8,347,408,609,4183,36,14,6.7,222,372,1560,12,4.2,88,108,857,37,40.8,13.0,124.84
Jacksonville Jaguars,15,242,4713,958,4.9,27,15,271,314,508,3020,15,12,5.4,160,400,1693,7,4.2,90,113,1044,21,26.2,16.1,-77.35
Kansas City Chiefs,15,530,6400,942,6.8,17,6,366,369,556,4644,48,11,8.0,228,360,1756,14,4.9,101,133,1102,37,53.0,9.9,241.76
Los Angeles Chargers,15,405,5686,890,6.4,15,5,321,334,488,3929,31,10,7.5,203,369,1757,15,4.8,95,107,916,23,44.3,8.9,174.72
Los Angeles Rams,15,479,6361,989,6.4,19,7,373,351,539,4285,28,12,7.5,223,417,2076,22,5.0,122,90,821,28,47.7,10.5,205.36
Miami Dolphins,15,302,4413,817,5.4,19,8,235,273,423,2774,25,11,5.9,144,346,1639,7,4.7,67,104,943,24,29.1,11.0,-24.18
Minnesota Vikings,15,350,5365,951,5.6,20,10,298,405,573,3935,29,10,6.5,212,342,1430,9,4.2,63,89,749,23,33.1,11.2,19.06
New England Patriots,15,398,5920,1009,5.9,18,7,341,354,541,4014,25,11,7.2,192,448,1906,18,4.3,122,89,714,27,40.5,9.8,134.38
New Orleans Saints,15,490,5773,959,6.0,15,9,360,367,497,3932,32,6,7.6,202,444,1841,25,4.1,125,88,845,33,53.8,9.5,221.97
New York Giants,15,334,5256,917,5.7,17,6,277,358,542,3749,21,11,6.4,196,329,1507,11,4.6,63,103,873,18,37.3,9.0,61.25
New York Jets,15,330,4548,916,5.0,27,8,246,283,496,3030,18,19,5.7,149,387,1518,11,3.9,80,110,918,17,33.5,14.1,-68.45
Oakland Raiders,15,287,5087,930,5.5,20,12,280,358,523,3586,19,8,6.3,186,358,1501,9,4.2,77,106,943,17,32.5,12.0,4.74
Philadelphia Eagles,15,343,5485,966,5.7,22,12,321,393,565,4044,26,10,6.7,206,364,1441,12,4.0,84,95,827,31,37.7,12.6,76.81
Pittsburgh Steelers,15,412,6110,992,6.2,25,9,360,428,644,4730,34,16,7.1,238,325,1380,16,4.2,83,102,956,39,36.8,14.6,162.79
San Francisco 49ers,15,310,5378,945,5.7,28,11,322,308,499,3603,23,17,6.6,188,401,1775,6,4.4,93,107,941,41,36.7,16.0,19.09
Seattle Seahawks,15,401,5362,951,5.6,10,4,313,268,406,2984,34,6,6.6,149,500,2378,13,4.8,125,110,949,39,39.4,6.5,106.71
Tampa Bay Buccaneers,15,364,6215,999,6.2,34,9,366,386,590,4784,32,25,7.6,249,369,1431,11,3.9,76,114,945,41,36.0,19.8,106.63
Tennessee Titans,15,293,4740,893,5.3,15,5,278,275,408,2810,15,10,6.2,150,438,1930,15,4.4,102,73,652,26,36.1,9.7,25.39
Washington Redskins,15,281,4706,923,5.1,18,4,272,298,481,2953,16,14,5.7,150,402,1753,12,4.4,95,113,993,27,33.5,11.2,-16.44
