Away,AwayPts,Home,HomePts
1,Dallas Mavericks,97,Atlanta Hawks,112
2,Detroit Pistons,105,Brooklyn Nets,100
3,Toronto Raptors,93,Denver Nuggets,112
4,Cleveland Cavaliers,111,Indiana Pacers,106
5,Memphis Grizzlies,110,New Orleans Pelicans,95
6,Washington Wizards,98,Oklahoma City Thunder,114
7,Milwaukee Bucks,104,Sacramento Kings,111
8,Orlando Magic,92,San Antonio Spurs,107
9,Chicago Bulls,96,Utah Jazz,105
10,Miami Heat,102,Houston Rockets,115
11,Minnesota Timberwolves,115,Los Angeles Lakers,119
12,Boston Celtics,97,New York Knicks,89
13,Toronto Raptors,104,Phoenix Suns,97
14,Milwaukee Bucks,95,Portland Trail Blazers,107
15,Detroit Pistons,95,Boston Celtics,102
16,Indiana Pacers,114,Brooklyn Nets,100
17,Cleveland Cavaliers,97,Charlotte Hornets,106
18,Miami Heat,93,Dallas Mavericks,90
19,Minnesota Timberwolves,108,Los Angeles Clippers,102
20,Orlando Magic,114,Oklahoma City Thunder,117
21,Atlanta Hawks,124,Philadelphia 76ers,86
22,Chicago Bulls,107,Sacramento Kings,102
23,New Orleans Pelicans,97,San Antonio Spurs,110
24,Denver Nuggets,81,Utah Jazz,85
25,Golden State Warriors,134,Washington Wizards,121
26,New York Knicks,105,Detroit Pistons,111
27,Los Angeles Lakers,99,New Orleans Pelicans,96
28,Houston Rockets,111,Phoenix Suns,105
29,Toronto Raptors,110,Portland Trail Blazers,103
30,Indiana Pacers,96,Atlanta Hawks,102
31,Sacramento Kings,119,Brooklyn Nets,128
32,Miami Heat,98,Charlotte Hornets,95
33,Boston Celtics,104,Cleveland Cavaliers,103
34,San Antonio Spurs,116,Dallas Mavericks,90
35,Chicago Bulls,110,Denver Nuggets,115
36,Memphis Grizzlies,91,New York Knicks,85
37,Los Angeles Clippers,107,Orlando Magic,93
38,Milwaukee Bucks,81,Utah Jazz,84
39,Philadelphia 76ers,94,Washington Wizards,106
40,Washington Wizards,104,Charlotte Hornets,108
41,New Orleans Pelicans,84,Cleveland Cavaliers,99
42,Oklahoma City Thunder,108,Golden State Warriors,116
43,Portland Trail Blazers,96,Houston Rockets,79
44,Detroit Pistons,104,Indiana Pacers,112
45,Dallas Mavericks,114,Memphis Grizzlies,110
46,Chicago Bulls,105,Minnesota Timberwolves,112
47,Brooklyn Nets,98,Philadelphia 76ers,103
48,Utah Jazz,98,Phoenix Suns,89
49,Los Angeles Lakers,102,San Antonio Spurs,106
50,Sacramento Kings,119,Boston Celtics,128
51,Los Angeles Clippers,100,Miami Heat,93
52,Denver Nuggets,101,New York Knicks,96
53,Atlanta Hawks,94,Orlando Magic,96
54,Orlando Magic,117,Atlanta Hawks,110
55,Denver Nuggets,104,Brooklyn Nets,105
56,Chicago Bulls,91,Charlotte Hornets,108
57,Sacramento Kings,100,Cleveland Cavaliers,120
58,Toronto Raptors,103,Detroit Pistons,89
59,Los Angeles Lakers,87,Indiana Pacers,89
60,Portland Trail Blazers,112,Memphis Grizzlies,106
61,New Orleans Pelicans,116,Minnesota Timberwolves,102
62,Los Angeles Clippers,98,Philadelphia 76ers,92
63,Oklahoma City Thunder,122,Phoenix Suns,106
64,Utah Jazz,121,Dallas Mavericks,119
65,Houston Rockets,110,Golden State Warriors,123
66,San Antonio Spurs,119,Miami Heat,101
67,Boston Celtics,111,Milwaukee Bucks,112
68,Washington Wizards,111,New York Knicks,108
69,Los Angeles Clippers,134,Boston Celtics,139
70,Memphis Grizzlies,109,Brooklyn Nets,90
71,Atlanta Hawks,113,Chicago Bulls,90
72,Los Angeles Lakers,111,Cleveland Cavaliers,120
73,Denver Nuggets,103,Detroit Pistons,92
74,Charlotte Hornets,117,Indiana Pacers,95
75,Toronto Raptors,112,Minnesota Timberwolves,117
76,Utah Jazz,96,New Orleans Pelicans,100
77,San Antonio Spurs,98,Orlando Magic,96
78,Sacramento Kings,114,Philadelphia 76ers,110
79,Golden State Warriors,112,Phoenix Suns,104
80,Houston Rockets,103,Portland Trail Blazers,116
81,Washington Wizards,92,Milwaukee Bucks,99
82,New Orleans Pelicans,95,Oklahoma City Thunder,121
83,Chicago Bulls,95,Cleveland Cavaliers,106
84,San Antonio Spurs,86,Los Angeles Clippers,105
85,Utah Jazz,89,Washington Wizards,103
86,Miami Heat,115,Atlanta Hawks,111
87,New York Knicks,98,Brooklyn Nets,109
88,Toronto Raptors,106,Chicago Bulls,116
89,San Antonio Spurs,119,Los Angeles Lakers,113
90,Minnesota Timberwolves,104,Memphis Grizzlies,109
91,Charlotte Hornets,98,Milwaukee Bucks,95
92,Philadelphia 76ers,114,New Orleans Pelicans,121
93,Indiana Pacers,101,Oklahoma City Thunder,98
94,Dallas Mavericks,104,Orlando Magic,110
95,Houston Rockets,116,Phoenix Suns,100
96,Golden State Warriors,105,Portland Trail Blazers,137
97,Denver Nuggets,110,Sacramento Kings,116
98,Boston Celtics,93,Utah Jazz,111
99,Detroit Pistons,86,Washington Wizards,98
100,Milwaukee Bucks,117,Atlanta Hawks,109
101,Golden State Warriors,115,Los Angeles Clippers,112
102,Washington Wizards,94,Miami Heat,114
103,New York Knicks,103,Minnesota Timberwolves,95
104,Charlotte Hornets,104,Brooklyn Nets,96
105,Los Angeles Lakers,115,Chicago Bulls,126
106,Philadelphia 76ers,103,Dallas Mavericks,129
107,Boston Celtics,121,Denver Nuggets,101
108,New Orleans Pelicans,111,Detroit Pistons,106
109,Cleveland Cavaliers,115,Oklahoma City Thunder,92
110,Indiana Pacers,105,Orlando Magic,102
111,San Antonio Spurs,118,Phoenix Suns,111
112,Utah Jazz,111,Portland Trail Blazers,115
113,Memphis Grizzlies,85,Toronto Raptors,98
114,Golden State Warriors,102,Atlanta Hawks,92
115,Detroit Pistons,96,Cleveland Cavaliers,88
116,Phoenix Suns,84,Los Angeles Clippers,124
117,Indiana Pacers,93,Miami Heat,101
118,Los Angeles Lakers,101,Milwaukee Bucks,108
119,Boston Celtics,122,Minnesota Timberwolves,124
120,Toronto Raptors,122,New York Knicks,95
121,Sacramento Kings,114,Denver Nuggets,110
122,Orlando Magic,124,Philadelphia 76ers,115
123,Brooklyn Nets,104,Portland Trail Blazers,112
124,Houston Rockets,114,Utah Jazz,117
125,New Orleans Pelicans,89,Washington Wizards,109
126,Washington Wizards,104,Chicago Bulls,109
127,Charlotte Hornets,103,Cleveland Cavaliers,114
128,Oklahoma City Thunder,116,Dallas Mavericks,103
129,Philadelphia 76ers,91,Detroit Pistons,111
130,New York Knicks,105,Indiana Pacers,108
131,Denver Nuggets,87,Los Angeles Clippers,81
132,Los Angeles Lakers,119,Memphis Grizzlies,128
133,Golden State Warriors,118,Miami Heat,112
134,San Antonio Spurs,108,Sacramento Kings,92
135,Minnesota Timberwolves,105,Toronto Raptors,114
136,Milwaukee Bucks,107,Boston Celtics,112
137,Oklahoma City Thunder,119,New Orleans Pelicans,123
138,Golden State Warriors,130,Orlando Magic,114
139,Brooklyn Nets,116,Phoenix Suns,106
140,Houston Rockets,119,Portland Trail Blazers,105
141,San Antonio Spurs,96,Utah Jazz,78
142,Chicago Bulls,88,Atlanta Hawks,103
143,Denver Nuggets,116,Dallas Mavericks,122
144,Charlotte Hornets,96,Indiana Pacers,95
145,Memphis Grizzlies,112,Los Angeles Lakers,95
146,Orlando Magic,95,New York Knicks,108
147,Washington Wizards,103,Philadelphia 76ers,94
148,Los Angeles Clippers,117,Sacramento Kings,107
149,Cleveland Cavaliers,97,Toronto Raptors,99
150,Miami Heat,89,Boston Celtics,101
151,Portland Trail Blazers,103,Chicago Bulls,95
152,San Antonio Spurs,104,Houston Rockets,94
153,Detroit Pistons,102,Milwaukee Bucks,91
154,Minnesota Timberwolves,112,New Orleans Pelicans,110
155,Golden State Warriors,121,Oklahoma City Thunder,118
156,Memphis Grizzlies,106,Phoenix Suns,111
157,Brooklyn Nets,98,Utah Jazz,96
158,Charlotte Hornets,76,Atlanta Hawks,87
159,Minnesota Timberwolves,101,Dallas Mavericks,128
160,Toronto Raptors,101,Detroit Pistons,114
161,Portland Trail Blazers,111,Indiana Pacers,102
162,Miami Heat,98,New York Knicks,81
163,Philadelphia 76ers,116,Orlando Magic,130
164,Cleveland Cavaliers,99,Washington Wizards,113
165,Utah Jazz,95,Boston Celtics,100
166,Indiana Pacers,96,Cleveland Cavaliers,100
167,Memphis Grizzlies,103,Denver Nuggets,96
168,Brooklyn Nets,95,Los Angeles Clippers,105
169,Houston Rockets,121,Milwaukee Bucks,128
170,Oklahoma City Thunder,131,Sacramento Kings,116
171,Philadelphia 76ers,108,Washington Wizards,116
