Away,AwayPts,Home,HomePts
1,Dallas Mavericks,95,Atlanta Hawks,100
2,Cleveland Cavaliers,99,Boston Celtics,103
3,Houston Rockets,122,Los Angeles Clippers,103
4,Philadelphia 76ers,98,Miami Heat,125
5,Denver Nuggets,110,Milwaukee Bucks,98
6,Detroit Pistons,86,New Orleans Pelicans,109
7,New York Knicks,101,Orlando Magic,90
8,Brooklyn Nets,109,Sacramento Kings,100
9,Indiana Pacers,99,San Antonio Spurs,100
10,Washington Wizards,105,Toronto Raptors,96
11,Minnesota Timberwolves,107,Utah Jazz,80
12,Golden State Warriors,87,Chicago Bulls,94
13,Charlotte Hornets,103,Phoenix Suns,120
14,Oklahoma City Thunder,109,Portland Trail Blazers,114
15,Cleveland Cavaliers,135,Atlanta Hawks,130
16,Memphis Grizzlies,100,Dallas Mavericks,104
17,Boston Celtics,115,Los Angeles Lakers,95
18,Los Angeles Clippers,101,Milwaukee Bucks,112
19,San Antonio Spurs,101,New Orleans Pelicans,98
20,Miami Heat,99,Orlando Magic,110
21,New York Knicks,102,Philadelphia 76ers,105
22,Oklahoma City Thunder,111,Phoenix Suns,118
23,Brooklyn Nets,97,Utah Jazz,112
24,Toronto Raptors,114,Washington Wizards,106
25,Los Angeles Clippers,101,Chicago Bulls,91
26,Charlotte Hornets,112,Denver Nuggets,102
27,Memphis Grizzlies,108,Houston Rockets,123
28,Cleveland Cavaliers,92,Miami Heat,120
29,Toronto Raptors,94,Milwaukee Bucks,101
30,Detroit Pistons,136,Philadelphia 76ers,106
31,Brooklyn Nets,116,Portland Trail Blazers,130
32,Minnesota Timberwolves,90,San Antonio Spurs,97
33,Indiana Pacers,97,Atlanta Hawks,96
34,Oklahoma City Thunder,89,Dallas Mavericks,104
35,New Orleans Pelicans,105,Los Angeles Lakers,97
36,Golden State Warriors,112,New York Knicks,105
37,Boston Celtics,106,Phoenix Suns,109
38,Utah Jazz,110,Sacramento Kings,109
39,Orlando Magic,114,Washington Wizards,115
40,Golden State Warriors,119,Atlanta Hawks,111
41,Indiana Pacers,88,Charlotte Hornets,100
42,Miami Heat,106,Cleveland Cavaliers,98
43,Sacramento Kings,96,Denver Nuggets,108
44,Chicago Bulls,95,Detroit Pistons,109
45,Boston Celtics,102,Los Angeles Clippers,116
46,Brooklyn Nets,122,Memphis Grizzlies,109
47,New York Knicks,113,Orlando Magic,105
48,Milwaukee Bucks,112,Philadelphia 76ers,98
49,Houston Rockets,110,San Antonio Spurs,112
50,New Orleans Pelicans,83,Utah Jazz,88
51,Los Angeles Lakers,111,Dallas Mavericks,122
52,Portland Trail Blazers,126,Oklahoma City Thunder,121
53,Washington Wizards,131,Phoenix Suns,127
54,Brooklyn Nets,105,Atlanta Hawks,110
55,Washington Wizards,123,Denver Nuggets,113
