Away,AwayPts,Home,HomePts
1,New York Knicks,81,Chicago Bulls,108
2,Philadelphia 76ers,84,Los Angeles Lakers,93
3,Dallas Mavericks,82,Miami Heat,106
4,Charlotte Hornets,94,Toronto Raptors,104
5,Orlando Magic,91,Washington Wizards,103
6,Brooklyn Nets,100,Boston Celtics,97
7,Oklahoma City Thunder,109,Charlotte Hornets,90
8,Orlando Magic,79,Cleveland Cavaliers,104
9,New Orleans Pelicans,105,Dallas Mavericks,98
10,Denver Nuggets,108,Golden State Warriors,111
11,Detroit Pistons,82,Indiana Pacers,94
12,Philadelphia 76ers,99,Los Angeles Clippers,130
13,Milwaukee Bucks,95,Minnesota Timberwolves,85
14,Phoenix Suns,119,Sacramento Kings,142
15,Houston Rockets,103,San Antonio Spurs,121
16,Memphis Grizzlies,87,Utah Jazz,92
17,Portland Trail Blazers,112,Denver Nuggets,106
18,Phoenix Suns,77,Los Angeles Lakers,97
19,Atlanta Hawks,97,New York Knicks,111
20,Chicago Bulls,115,Toronto Raptors,113
21,Miami Heat,97,Washington Wizards,75
22,Boston Celtics,103,Brooklyn Nets,94
23,Toronto Raptors,100,Cleveland Cavaliers,122
24,Orlando Magic,89,Detroit Pistons,115
25,Charlotte Hornets,101,Golden State Warriors,111
26,Indiana Pacers,100,Miami Heat,103
27,San Antonio Spurs,123,Milwaukee Bucks,98
28,Sacramento Kings,116,Oklahoma City Thunder,104
29,Minnesota Timberwolves,99,Philadelphia 76ers,109
30,Memphis Grizzlies,91,Portland Trail Blazers,78
31,Houston Rockets,93,Utah Jazz,91
32,New York Knicks,107,Atlanta Hawks,101
33,Milwaukee Bucks,106,Chicago Bulls,117
34,Sacramento Kings,116,Dallas Mavericks,117
35,Golden State Warriors,109,Los Angeles Lakers,88
36,Detroit Pistons,99,Boston Celtics,94
37,Toronto Raptors,91,Brooklyn Nets,74
38,New York Knicks,98,Miami Heat,90
39,Denver Nuggets,78,Minnesota Timberwolves,74
40,Dallas Mavericks,100,New Orleans Pelicans,91
41,Memphis Grizzlies,94,Oklahoma City Thunder,112
42,Indiana Pacers,95,Orlando Magic,86
43,Charlotte Hornets,102,Phoenix Suns,111
44,Los Angeles Clippers,109,Portland Trail Blazers,98
45,Utah Jazz,98,San Antonio Spurs,123
46,Cleveland Cavaliers,121,Washington Wizards,115
47,Boston Celtics,92,Chicago Bulls,101
48,Utah Jazz,94,Houston Rockets,103
49,Atlanta Hawks,126,Philadelphia 76ers,98
50,Los Angeles Lakers,115,Sacramento Kings,118
51,Orlando Magic,83,Brooklyn Nets,77
52,Oklahoma City Thunder,117,Los Angeles Lakers,113
53,Denver Nuggets,84,Memphis Grizzlies,91
54,Dallas Mavericks,95,Milwaukee Bucks,96
55,Cleveland Cavaliers,125,Minnesota Timberwolves,99
56,Indiana Pacers,91,New Orleans Pelicans,86
57,Miami Heat,103,Phoenix Suns,95
58,Golden State Warriors,128,Portland Trail Blazers,108
59,New York Knicks,99,San Antonio Spurs,100
60,Toronto Raptors,97,Washington Wizards,88
61,Chicago Bulls,105,Atlanta Hawks,120
62,Brooklyn Nets,89,Detroit Pistons,103
63,Charlotte Hornets,83,Los Angeles Clippers,97
64,Washington Wizards,105,Orlando Magic,99
65,Toronto Raptors,108,Philadelphia 76ers,95
66,Golden State Warriors,128,Sacramento Kings,116
67,Miami Heat,83,Utah Jazz,98
68,Charlotte Hornets,92,Denver Nuggets,95
69,Indiana Pacers,103,Houston Rockets,107
70,New Orleans Pelicans,111,Los Angeles Clippers,114
71,Utah Jazz,86,Los Angeles Lakers,74
72,Boston Celtics,98,Memphis Grizzlies,101
73,Dallas Mavericks,93,Minnesota Timberwolves,87
74,Milwaukee Bucks,88,New York Knicks,100
75,Cleveland Cavaliers,95,Philadelphia 76ers,85
76,Oklahoma City Thunder,110,Portland Trail Blazers,115
77,San Antonio Spurs,106,Brooklyn Nets,79
78,Washington Wizards,114,Chicago Bulls,100
79,Miami Heat,103,Golden State Warriors,111
80,Cleveland Cavaliers,110,Dallas Mavericks,107
81,San Antonio Spurs,109,Detroit Pistons,99
82,Phoenix Suns,97,Indiana Pacers,116
83,New Orleans Pelicans,91,Los Angeles Lakers,95
84,Houston Rockets,107,Memphis Grizzlies,91
85,Chicago Bulls,101,Milwaukee Bucks,106
86,Oklahoma City Thunder,101,Minnesota Timberwolves,96
87,Boston Celtics,114,New York Knicks,120
88,Indiana Pacers,94,Boston Celtics,103
89,New York Knicks,104,Brooklyn Nets,110
90,Atlanta Hawks,84,Charlotte Hornets,107
91,Golden State Warriors,110,Denver Nuggets,112
92,Minnesota Timberwolves,104,Houston Rockets,107
93,Miami Heat,90,Los Angeles Clippers,104
