Tm,FG%,3P%,FTA,FT%,PPS,AFG%
5,Atlanta,.432,.338,22.1,.755,1.15,.480
12,Boston,.441,.336,26.0,.755,1.21,.487
23,Brooklyn,.479,.369,19.6,.763,1.24,.534
8,Charlotte,.444,.349,21.2,.769,1.18,.496
15,Chicago,.441,.345,22.1,.737,1.15,.485
3,Cleveland,.448,.347,22.6,.743,1.20,.496
13,Dallas,.451,.342,22.8,.738,1.21,.504
21,Denver,.461,.371,23.9,.761,1.25,.515
11,Detroit,.461,.355,21.0,.783,1.20,.504
18,Golden State,.435,.332,24.5,.757,1.16,.479
24,Houston,.459,.361,24.6,.756,1.25,.516
7,Indiana,.440,.334,23.2,.751,1.18,.489
6,LA Clippers,.434,.338,25.1,.751,1.18,.480
26,LA Lakers,.473,.347,23.7,.731,1.25,.523
10,Memphis,.456,.365,25.7,.768,1.29,.518
4,Miami,.442,.347,21.5,.770,1.17,.485
16,Milwaukee,.454,.352,23.9,.768,1.24,.510
22,Minnesota,.471,.355,22.5,.757,1.25,.524
25,New Orleans,.468,.369,24.0,.783,1.27,.523
9,New York,.443,.341,23.2,.754,1.18,.487
14,Oklahoma City,.438,.342,23.8,.756,1.17,.484
17,Orlando,.460,.359,24.0,.746,1.24,.513
28,Philadelphia,.464,.359,26.1,.786,1.26,.510
27,Phoenix,.467,.377,26.5,.749,1.28,.523
19,Portland,.453,.371,26.0,.734,1.23,.503
29,Sacramento,.462,.366,23.2,.762,1.24,.521
0,San Antonio,.436,.331,19.6,.758,1.14,.477
2,Toronto,.444,.373,22.1,.748,1.20,.498
1,Utah,.446,.357,22.5,.746,1.20,.495
20,Washington,.462,.371,23.7,.769,1.25,.515
