Away,AwayPts,Home,HomePts
1,Detroit Pistons,106,Atlanta Hawks,94
2,Cleveland Cavaliers,95,Chicago Bulls,97
3,New Orleans Pelicans,95,Golden State Warriors,111
4,Philadelphia 76ers,95,Boston Celtics,112
5,Chicago Bulls,115,Brooklyn Nets,100
6,Utah Jazz,87,Detroit Pistons,92
7,Denver Nuggets,105,Houston Rockets,85
8,Minnesota Timberwolves,112,Los Angeles Lakers,111
9,Cleveland Cavaliers,106,Memphis Grizzlies,76
10,Charlotte Hornets,94,Miami Heat,104
11,New York Knicks,122,Milwaukee Bucks,97
12,San Antonio Spurs,106,Oklahoma City Thunder,112
13,Washington Wizards,88,Orlando Magic,87
14,Dallas Mavericks,111,Phoenix Suns,95
15,New Orleans Pelicans,94,Portland Trail Blazers,112
16,Los Angeles Clippers,111,Sacramento Kings,104
17,Indiana Pacers,99,Toronto Raptors,106
18,Memphis Grizzlies,112,Indiana Pacers,103
19,Dallas Mavericks,88,Los Angeles Clippers,104
20,Atlanta Hawks,112,New York Knicks,101
21,Charlotte Hornets,94,Atlanta Hawks,97
22,Toronto Raptors,113,Boston Celtics,103
23,Miami Heat,92,Cleveland Cavaliers,102
24,Minnesota Timberwolves,95,Denver Nuggets,78
25,Chicago Bulls,94,Detroit Pistons,98
26,Golden State Warriors,112,Houston Rockets,92
27,Washington Wizards,118,Milwaukee Bucks,113
28,Oklahoma City Thunder,139,Orlando Magic,136
29,Utah Jazz,99,Philadelphia 76ers,71
30,Portland Trail Blazers,92,Phoenix Suns,110
31,Los Angeles Lakers,114,Sacramento Kings,132
32,Brooklyn Nets,75,San Antonio Spurs,102
33,Utah Jazz,97,Indiana Pacers,76
34,Sacramento Kings,109,Los Angeles Clippers,114
35,Brooklyn Nets,91,Memphis Grizzlies,101
36,Golden State Warriors,134,New Orleans Pelicans,120
37,Phoenix Suns,101,Portland Trail Blazers,90
38,New York Knicks,117,Washington Wizards,110
