Away,AwayPts,Home,HomePts
1,Milwaukee Bucks,111,Brooklyn Nets,93
2,Dallas Mavericks,87,Charlotte Hornets,97
3,Los Angeles Clippers,113,Cleveland Cavaliers,94
4,Houston Rockets,132,Golden State Warriors,127
5,Orlando Magic,94,Memphis Grizzlies,95
6,Miami Heat,111,Utah Jazz,110
7,Detroit Pistons,121,Atlanta Hawks,85
8,Sacramento Kings,92,Boston Celtics,97
9,Cleveland Cavaliers,105,Chicago Bulls,111
10,Houston Rockets,128,Denver Nuggets,110
11,Los Angeles Clippers,114,New Orleans Pelicans,96
12,Minnesota Timberwolves,114,New York Knicks,118
13,Orlando Magic,105,Philadelphia 76ers,88
14,Washington Wizards,105,San Antonio Spurs,107
15,Los Angeles Lakers,80,Toronto Raptors,113
16,Minnesota Timberwolves,125,Charlotte Hornets,120
17,Chicago Bulls,82,Dallas Mavericks,107
18,Phoenix Suns,109,Golden State Warriors,138
19,Los Angeles Lakers,100,Memphis Grizzlies,103
20,Brooklyn Nets,103,Milwaukee Bucks,112
21,Boston Celtics,107,Philadelphia 76ers,106
22,Miami Heat,92,Portland Trail Blazers,99
23,Atlanta Hawks,84,Toronto Raptors,128
24,Denver Nuggets,98,Utah Jazz,105
25,Orlando Magic,98,Detroit Pistons,92
26,Indiana Pacers,111,Los Angeles Clippers,102
27,Sacramento Kings,98,New York Knicks,106
28,New Orleans Pelicans,92,Oklahoma City Thunder,101
29,Oklahoma City Thunder,102,Atlanta Hawks,99
30,Washington Wizards,118,Brooklyn Nets,113
31,Portland Trail Blazers,112,Chicago Bulls,110
32,Charlotte Hornets,109,Dallas Mavericks,101
33,Indiana Pacers,106,Golden State Warriors,142
34,Boston Celtics,106,Houston Rockets,107
35,Utah Jazz,107,Los Angeles Lakers,101
36,San Antonio Spurs,97,Milwaukee Bucks,96
37,Memphis Grizzlies,110,New Orleans Pelicans,108
38,Denver Nuggets,106,Philadelphia 76ers,98
39,Cleveland Cavaliers,116,Toronto Raptors,112
40,Chicago Bulls,91,Detroit Pistons,102
41,Philadelphia 76ers,91,Memphis Grizzlies,96
42,New York Knicks,114,Miami Heat,103
43,San Antonio Spurs,105,Minnesota Timberwolves,91
44,Phoenix Suns,105,Utah Jazz,112
45,Orlando Magic,124,Washington Wizards,116
46,Miami Heat,95,Atlanta Hawks,103
47,Denver Nuggets,111,Brooklyn Nets,116
48,Detroit Pistons,77,Charlotte Hornets,87
49,Sacramento Kings,120,Dallas Mavericks,89
50,Los Angeles Lakers,95,Houston Rockets,134
51,Golden State Warriors,115,Los Angeles Clippers,98
52,Portland Trail Blazers,107,Milwaukee Bucks,115
53,Cleveland Cavaliers,126,New York Knicks,94
54,Boston Celtics,117,Orlando Magic,87
55,Indiana Pacers,109,Phoenix Suns,94
56,San Antonio Spurs,91,Chicago Bulls,95
57,Portland Trail Blazers,86,Memphis Grizzlies,88
58,Philadelphia 76ers,99,New Orleans Pelicans,88
59,Minnesota Timberwolves,110,Toronto Raptors,124
60,Golden State Warriors,106,Utah Jazz,99
61,Denver Nuggets,85,Washington Wizards,92
62,Toronto Raptors,101,Boston Celtics,94
63,Orlando Magic,88,Charlotte Hornets,109
64,Miami Heat,84,Cleveland Cavaliers,114
65,Indiana Pacers,103,Dallas Mavericks,111
66,Phoenix Suns,119,Los Angeles Lakers,115
67,Atlanta Hawks,114,Milwaukee Bucks,110
68,Detroit Pistons,117,Minnesota Timberwolves,90
69,Houston Rockets,102,Oklahoma City Thunder,99
70,New York Knicks,103,Sacramento Kings,100
71,Miami Heat,100,Chicago Bulls,105
72,Charlotte Hornets,105,Cleveland Cavaliers,116
73,Dallas Mavericks,87,Houston Rockets,109
74,Portland Trail Blazers,111,Indiana Pacers,118
75,New Orleans Pelicans,105,Los Angeles Clippers,133
76,Golden State Warriors,89,Memphis Grizzlies,110
77,Denver Nuggets,121,Orlando Magic,113
78,Brooklyn Nets,101,San Antonio Spurs,130
79,Sacramento Kings,84,Utah Jazz,104
80,Milwaukee Bucks,105,Washington Wizards,110
81,Philadelphia 76ers,97,Detroit Pistons,79
82,New York Knicks,118,Los Angeles Lakers,112
83,Golden State Warriors,116,Minnesota Timberwolves,108
84,Boston Celtics,96,Oklahoma City Thunder,99
85,New Orleans Pelicans,120,Phoenix Suns,119
86,Denver Nuggets,92,Dallas Mavericks,112
87,Brooklyn Nets,118,Houston Rockets,122
88,Charlotte Hornets,94,Indiana Pacers,110
89,Portland Trail Blazers,120,Los Angeles Clippers,121
90,Washington Wizards,101,Miami Heat,112
91,Los Angeles Lakers,92,Sacramento Kings,116
92,Milwaukee Bucks,100,Toronto Raptors,122
93,Orlando Magic,131,Atlanta Hawks,120
94,Minnesota Timberwolves,99,Chicago Bulls,94
95,Memphis Grizzlies,86,Cleveland Cavaliers,103
96,Golden State Warriors,113,New Orleans Pelicans,109
97,New York Knicks,111,Phoenix Suns,113
98,Oklahoma City Thunder,95,Portland Trail Blazers,114
99,Los Angeles Lakers,97,Brooklyn Nets,107
100,Detroit Pistons,95,Dallas Mavericks,85
101,Sacramento Kings,98,Houston Rockets,132
102,Cleveland Cavaliers,85,Memphis Grizzlies,93
103,Indiana Pacers,89,Miami Heat,95
104,Los Angeles Clippers,113,Orlando Magic,108
105,Toronto Raptors,123,Philadelphia 76ers,114
106,Boston Celtics,101,San Antonio Spurs,108
107,Oklahoma City Thunder,89,Utah Jazz,109
108,Charlotte Hornets,106,Washington Wizards,109
109,Portland Trail Blazers,120,Denver Nuggets,132
110,New York Knicks,90,Golden State Warriors,103
111,Chicago Bulls,97,Milwaukee Bucks,108
112,Indiana Pacers,95,New Orleans Pelicans,102
113,San Antonio Spurs,107,Phoenix Suns,92
114,Charlotte Hornets,88,Boston Celtics,96
115,Milwaukee Bucks,95,Chicago Bulls,69
116,New Orleans Pelicans,100,Houston Rockets,122
117,Sacramento Kings,96,Memphis Grizzlies,92
118,Los Angeles Clippers,102,Miami Heat,98
119,Brooklyn Nets,111,Orlando Magic,118
120,Los Angeles Lakers,100,Philadelphia 76ers,89
121,Atlanta Hawks,125,Toronto Raptors,121
122,Dallas Mavericks,100,Utah Jazz,103
123,Detroit Pistons,108,Washington Wizards,122
124,Charlotte Hornets,107,Atlanta Hawks,99
125,Los Angeles Lakers,108,Cleveland Cavaliers,119
126,New York Knicks,114,Denver Nuggets,127
127,Indiana Pacers,105,Detroit Pistons,90
128,Portland Trail Blazers,90,Golden State Warriors,135
129,Houston Rockets,111,Minnesota Timberwolves,109
130,Phoenix Suns,101,Oklahoma City Thunder,114
131,Sacramento Kings,79,Dallas Mavericks,99
132,Utah Jazz,82,Memphis Grizzlies,73
133,Boston Celtics,105,Miami Heat,95
134,Toronto Raptors,109,Orlando Magic,79
135,Brooklyn Nets,107,Philadelphia 76ers,108
136,New Orleans Pelicans,100,San Antonio Spurs,113
137,Los Angeles Clippers,110,Washington Wizards,117
138,Detroit Pistons,82,Chicago Bulls,113
139,Dallas Mavericks,107,Denver Nuggets,117
140,Washington Wizards,105,Indiana Pacers,107
141,Phoenix Suns,108,Minnesota Timberwolves,115
142,Atlanta Hawks,110,Oklahoma City Thunder,108
143,Los Angeles Lakers,113,Charlotte Hornets,117
144,Utah Jazz,74,Golden State Warriors,104
145,San Antonio Spurs,102,Houston Rockets,100
146,Denver Nuggets,102,Los Angeles Clippers,119
147,Boston Celtics,112,Memphis Grizzlies,109
148,Orlando Magic,136,Miami Heat,130
149,Cleveland Cavaliers,114,Milwaukee Bucks,108
150,Indiana Pacers,111,New York Knicks,118
151,New Orleans Pelicans,108,Philadelphia 76ers,93
152,Portland Trail Blazers,121,Sacramento Kings,126
153,Brooklyn Nets,104,Toronto Raptors,116
154,Minnesota Timberwolves,92,Atlanta Hawks,84
155,Washington Wizards,107,Chicago Bulls,97
156,Milwaukee Bucks,102,Cleveland Cavaliers,113
157,Memphis Grizzlies,98,Detroit Pistons,86
158,Oklahoma City Thunder,121,New Orleans Pelicans,110
159,Houston Rockets,125,Phoenix Suns,111
160,Dallas Mavericks,96,Portland Trail Blazers,95
161,Sacramento Kings,94,Utah Jazz,93
162,Golden State Warriors,117,Brooklyn Nets,101
163,Boston Celtics,109,Indiana Pacers,102
164,San Antonio Spurs,101,Los Angeles Clippers,106
165,Los Angeles Lakers,107,Miami Heat,115
166,Orlando Magic,95,New York Knicks,106
167,Oklahoma City Thunder,117,Boston Celtics,112
168,Chicago Bulls,91,Charlotte Hornets,103
169,Brooklyn Nets,99,Cleveland Cavaliers,119
170,Atlanta Hawks,109,Denver Nuggets,108
171,Golden State Warriors,119,Detroit Pistons,113
172,Dallas Mavericks,90,Los Angeles Clippers,88
173,Houston Rockets,109,Memphis Grizzlies,115
174,Washington Wizards,96,Milwaukee Bucks,123
175,Sacramento Kings,109,Minnesota Timberwolves,105
176,Miami Heat,87,New Orleans Pelicans,91
177,Los Angeles Lakers,90,Orlando Magic,109
178,Philadelphia 76ers,116,Phoenix Suns,123
179,San Antonio Spurs,110,Portland Trail Blazers,90
180,Toronto Raptors,104,Utah Jazz,98
181,Golden State Warriors,108,Cleveland Cavaliers,109
182,Los Angeles Clippers,102,Los Angeles Lakers,111
183,Boston Celtics,119,New York Knicks,114
184,Minnesota Timberwolves,100,Oklahoma City Thunder,112
185,Chicago Bulls,100,San Antonio Spurs,119
186,Charlotte Hornets,118,Brooklyn Nets,120
187,Indiana Pacers,85,Chicago Bulls,90
188,Cleveland Cavaliers,90,Detroit Pistons,106
189,Phoenix Suns,115,Houston Rockets,131
190,Denver Nuggets,106,Los Angeles Clippers,102
191,Atlanta Hawks,90,Minnesota Timberwolves,104
192,Dallas Mavericks,104,New Orleans Pelicans,111
193,Memphis Grizzlies,102,Orlando Magic,112
194,Toronto Raptors,95,Portland Trail Blazers,91
195,Philadelphia 76ers,100,Sacramento Kings,102
196,Milwaukee Bucks,102,Washington Wizards,107
197,Memphis Grizzlies,103,Boston Celtics,113
198,Houston Rockets,123,Dallas Mavericks,107
199,Utah Jazz,102,Los Angeles Lakers,100
200,Oklahoma City Thunder,106,Miami Heat,94
201,New York Knicks,98,Atlanta Hawks,102
202,Brooklyn Nets,99,Chicago Bulls,101
203,Minnesota Timberwolves,103,Denver Nuggets,105
204,Milwaukee Bucks,119,Detroit Pistons,94
205,Toronto Raptors,111,Golden State Warriors,121
206,Los Angeles Clippers,98,New Orleans Pelicans,102
207,Charlotte Hornets,120,Orlando Magic,101
208,Sacramento Kings,89,Portland Trail Blazers,102
209,Phoenix Suns,98,San Antonio Spurs,119
210,Indiana Pacers,105,Washington Wizards,111
211,Miami Heat,82,Charlotte Hornets,91
212,Boston Celtics,118,Cleveland Cavaliers,124
213,Dallas Mavericks,101,Los Angeles Lakers,89
214,Oklahoma City Thunder,80,Memphis Grizzlies,114
215,Toronto Raptors,91,Phoenix Suns,99
216,Philadelphia 76ers,83,Utah Jazz,100
217,Detroit Pistons,98,Atlanta Hawks,105
218,Miami Heat,114,Boston Celtics,117
219,Philadelphia 76ers,124,Denver Nuggets,122
220,Dallas Mavericks,99,Golden State Warriors,108
221,Los Angeles Clippers,116,Houston Rockets,140
222,Chicago Bulls,101,Indiana Pacers,111
223,Milwaukee Bucks,99,Minnesota Timberwolves,116
224,New York Knicks,92,New Orleans Pelicans,104
225,Portland Trail Blazers,94,San Antonio Spurs,110
226,Brooklyn Nets,95,Washington Wizards,118
227,Milwaukee Bucks,116,Chicago Bulls,96
228,Cleveland Cavaliers,121,Charlotte Hornets,109
229,New York Knicks,122,Houston Rockets,129
230,Los Angeles Clippers,88,Oklahoma City Thunder,114
231,Memphis Grizzlies,112,Sacramento Kings,98
232,Phoenix Suns,86,Utah Jazz,91
