Tm,FG%,3P%,FTA,FT%,PPS,AFG%
24,Atlanta,.446,.360,20.2,.785,1.21,.512
19,Boston,.450,.377,20.7,.771,1.22,.518
13,Brooklyn,.441,.356,22.6,.772,1.23,.514
9,Charlotte,.450,.369,27.0,.747,1.25,.508
25,Chicago,.435,.355,19.2,.759,1.16,.497
4,Cleveland,.476,.372,23.3,.779,1.31,.547
27,Dallas,.444,.360,18.7,.763,1.19,.513
5,Denver,.470,.371,22.3,.767,1.27,.536
21,Detroit,.450,.373,19.8,.745,1.19,.512
0,Golden State,.503,.391,20.3,.815,1.33,.569
1,Houston,.460,.362,25.1,.781,1.33,.551
16,Indiana,.472,.369,19.2,.779,1.22,.525
8,LA Clippers,.471,.354,25.5,.743,1.28,.527
10,LA Lakers,.461,.345,23.3,.714,1.22,.517
28,Memphis,.444,.352,21.1,.786,1.20,.500
22,Miami,.455,.360,19.5,.755,1.21,.520
14,Milwaukee,.478,.355,23.4,.783,1.28,.531
7,Minnesota,.476,.357,24.1,.804,1.27,.523
2,New Orleans,.483,.362,20.9,.772,1.27,.541
17,New York,.464,.352,19.0,.787,1.19,.510
11,Oklahoma City,.453,.354,24.2,.716,1.22,.514
23,Orlando,.452,.351,20.5,.757,1.20,.512
6,Philadelphia,.472,.369,22.8,.752,1.27,.535
20,Phoenix,.442,.334,23.9,.741,1.19,.495
15,Portland,.452,.366,20.9,.800,1.21,.511
29,Sacramento,.450,.375,16.7,.735,1.15,.502
26,San Antonio,.457,.352,20.9,.772,1.20,.507
3,Toronto,.472,.358,21.8,.794,1.28,.539
18,Utah,.462,.366,21.5,.779,1.26,.527
12,Washington,.467,.375,21.8,.772,1.25,.525
