Away,AwayPts,Home,HomePts
127,Washington Wizards,101,Atlanta Hawks,111
128,Golden State Warriors,128,Portland Trail Blazers,103
129,Milwaukee Bucks,93,Toronto Raptors,118
130,Oklahoma City Thunder,99,Houston Rockets,105
131,Utah Jazz,96,Los Angeles Clippers,92
132,Memphis Grizzlies,103,San Antonio Spurs,116
133,Chicago Bulls,97,Boston Celtics,108
134,Atlanta Hawks,99,Washington Wizards,103
135,San Antonio Spurs,103,Memphis Grizzlies,96
136,Toronto Raptors,92,Milwaukee Bucks,89
137,Washington Wizards,115,Atlanta Hawks,99
138,Boston Celtics,105,Chicago Bulls,83
139,Los Angeles Clippers,98,Utah Jazz,93
140,Washington Wizards,111,Boston Celtics,123
141,Utah Jazz,104,Los Angeles Clippers,91
