Away,AwayPts,Home,HomePts
127,Washington Wizards,99,Philadelphia 76ers,94
128,Portland Trail Blazers,110,San Antonio Spurs,118
129,Phoenix Suns,69,Utah Jazz,103
130,Golden State Warriors,130,Dallas Mavericks,112
131,Sacramento Kings,108,Detroit Pistons,115
132,Minnesota Timberwolves,111,Houston Rockets,116
133,Phoenix Suns,95,Los Angeles Lakers,90
134,Portland Trail Blazers,117,New Orleans Pelicans,112
135,Cleveland Cavaliers,109,Orlando Magic,103
136,Oklahoma City Thunder,111,Philadelphia 76ers,97
137,Boston Celtics,91,Toronto Raptors,105
138,Houston Rockets,97,Atlanta Hawks,109
139,Utah Jazz,85,Chicago Bulls,92
140,Denver Nuggets,101,Charlotte Hornets,93
141,Brooklyn Nets,103,Detroit Pistons,115
142,Oklahoma City Thunder,115,Indiana Pacers,111
143,Los Angeles Clippers,102,Memphis Grizzlies,113
144,Cleveland Cavaliers,101,Miami Heat,122
145,Golden State Warriors,79,San Antonio Spurs,87
146,New York Knicks,89,Washington Wizards,99
147,Portland Trail Blazers,120,Dallas Mavericks,132
148,Utah Jazz,94,Milwaukee Bucks,85
149,Los Angeles Clippers,105,New Orleans Pelicans,109
150,Sacramento Kings,88,New York Knicks,80
151,Boston Celtics,120,Philadelphia 76ers,105
152,Orlando Magic,100,Toronto Raptors,105
153,Washington Wizards,117,Atlanta Hawks,102
154,Orlando Magic,96,Boston Celtics,107
155,Sacramento Kings,102,Chicago Bulls,109
156,San Antonio Spurs,88,Charlotte Hornets,91
157,Denver Nuggets,91,Cleveland Cavaliers,124
158,Milwaukee Bucks,91,Detroit Pistons,92
159,Philadelphia 76ers,75,Indiana Pacers,91
160,Golden State Warriors,109,Minnesota Timberwolves,104
161,Memphis Grizzlies,103,Phoenix Suns,97
162,Charlotte Hornets,105,Brooklyn Nets,100
163,Memphis Grizzlies,100,Los Angeles Lakers,107
164,Miami Heat,113,New Orleans Pelicans,99
165,Houston Rockets,107,Oklahoma City Thunder,111
166,Toronto Raptors,79,Boston Celtics,91
167,New York Knicks,115,Chicago Bulls,107
168,Milwaukee Bucks,104,Cleveland Cavaliers,113
169,Philadelphia 76ers,103,Denver Nuggets,104
170,Orlando Magic,102,Detroit Pistons,118
171,Los Angeles Clippers,98,Golden State Warriors,114
172,Utah Jazz,89,Houston Rockets,87
173,Sacramento Kings,104,Minnesota Timberwolves,113
174,Los Angeles Lakers,107,Phoenix Suns,119
175,Dallas Mavericks,103,Portland Trail Blazers,109
176,Miami Heat,88,San Antonio Spurs,112
177,Atlanta Hawks,122,Washington Wizards,101
178,Cleveland Cavaliers,95,Brooklyn Nets,104
179,New Orleans Pelicans,84,Indiana Pacers,92
180,Portland Trail Blazers,94,Los Angeles Clippers,96
181,Chicago Bulls,94,New York Knicks,106
182,Utah Jazz,91,Oklahoma City Thunder,113
183,Milwaukee Bucks,90,Atlanta Hawks,101
184,Charlotte Hornets,105,Detroit Pistons,112
185,Dallas Mavericks,120,Golden State Warriors,128
186,Toronto Raptors,109,Houston Rockets,112
187,Denver Nuggets,116,Los Angeles Lakers,105
188,Orlando Magic,97,Miami Heat,108
189,Phoenix Suns,94,Sacramento Kings,116
190,Memphis Grizzlies,104,San Antonio Spurs,110
191,Minnesota Timberwolves,132,Washington Wizards,129
192,Indiana Pacers,110,Brooklyn Nets,120
193,Atlanta Hawks,112,Detroit Pistons,95
194,Charlotte Hornets,115,Milwaukee Bucks,91
195,Utah Jazz,93,Minnesota Timberwolves,84
196,Toronto Raptors,115,New Orleans Pelicans,91
197,Cleveland Cavaliers,107,New York Knicks,93
198,San Antonio Spurs,92,Oklahoma City Thunder,111
199,Chicago Bulls,89,Orlando Magic,111
200,Boston Celtics,102,Phoenix Suns,99
201,Philadelphia 76ers,105,Portland Trail Blazers,108
202,Philadelphia 76ers,105,Golden State Warriors,117
