Tm,ORPG,OppORPG,DRPG,OppDRPG,RPG,OppRPG,Diff
24,Atlanta,9.1,10.3,32.8,34.0,41.9,44.2,-2.3
7,Boston,9.4,9.6,35.1,34.2,44.5,43.8,+0.7
8,Brooklyn,9.7,10.4,34.8,36.4,44.4,46.8,-2.4
3,Charlotte,10.1,8.4,35.4,35.3,45.5,43.7,+1.8
5,Chicago,9.6,8.4,35.0,37.2,44.7,45.7,-1.0
22,Cleveland,8.5,9.9,33.7,33.7,42.1,43.6,-1.5
26,Dallas,8.1,8.8,33.1,36.9,41.3,45.8,-4.5
6,Denver,11.0,9.8,33.5,31.9,44.5,41.6,+2.9
15,Detroit,10.1,9.2,33.6,34.5,43.7,43.8,-0.1
16,Golden State,8.4,10.9,35.1,31.6,43.5,42.5,+1.0
17,Houston,9.0,8.7,34.5,33.4,43.5,42.0,+1.5
21,Indiana,9.6,10.2,32.7,32.7,42.3,43.0,-0.7
14,LA Clippers,10.1,10.6,33.7,33.0,43.9,43.6,+0.3
1,LA Lakers,10.7,10.2,35.7,34.6,46.4,44.8,+1.6
28,Memphis,9.5,9.5,31.0,33.0,40.5,42.5,-2.0
18,Miami,9.3,9.1,34.2,34.0,43.5,43.1,+0.4
29,Milwaukee,8.4,10.0,31.5,32.8,39.8,42.7,-2.9
23,Minnesota,10.3,9.8,31.6,32.0,42.0,41.8,+0.2
9,New Orleans,8.7,10.8,35.7,34.7,44.3,45.5,-1.2
12,New York,10.5,10.2,33.6,33.0,44.0,43.2,+0.8
4,Oklahoma City,12.5,9.5,32.6,32.6,45.1,42.2,+2.9
25,Orlando,8.8,10.6,32.8,35.3,41.6,45.9,-4.3
0,Philadelphia,10.9,10.0,36.5,32.2,47.4,42.2,+5.2
11,Phoenix,10.3,10.4,33.9,35.4,44.1,45.9,-1.8
2,Portland,10.2,9.3,35.3,33.6,45.5,42.9,+2.6
27,Sacramento,9.5,9.1,31.4,34.7,40.9,43.8,-2.9
10,San Antonio,10.4,9.2,33.9,33.3,44.2,42.5,+1.7
13,Toronto,9.8,9.8,34.2,32.6,44.0,42.4,+1.6
19,Utah,9.0,8.7,34.2,33.0,43.3,41.6,+1.7
20,Washington,10.0,9.8,33.1,32.7,43.1,42.5,+0.6
