Away,AwayPts,Home,HomePts
1,Sacramento Kings,146,Atlanta Hawks,115
2,Milwaukee Bucks,113,Boston Celtics,117
3,Oklahoma City Thunder,111,Charlotte Hornets,107
4,Denver Nuggets,110,Cleveland Cavaliers,91
5,Los Angeles Clippers,113,Philadelphia 76ers,122
6,New Orleans Pelicans,119,Portland Trail Blazers,132
7,Houston Rockets,119,Brooklyn Nets,111
8,Indiana Pacers,107,Chicago Bulls,105
9,New York Knicks,118,Dallas Mavericks,106
10,Minnesota Timberwolves,99,Golden State Warriors,116
11,Los Angeles Clippers,120,Orlando Magic,95
12,Toronto Raptors,107,Phoenix Suns,98
13,Memphis Grizzlies,110,Utah Jazz,100
14,Oklahoma City Thunder,134,Washington Wizards,111
15,Miami Heat,118,Atlanta Hawks,123
16,Houston Rockets,96,Chicago Bulls,88
17,Cleveland Cavaliers,94,Charlotte Hornets,126
18,Utah Jazz,88,Denver Nuggets,103
19,Boston Celtics,101,Indiana Pacers,102
20,Detroit Pistons,99,Philadelphia 76ers,109
21,Los Angeles Lakers,114,Portland Trail Blazers,110
22,New Orleans Pelicans,95,San Antonio Spurs,109
23,Philadelphia 76ers,97,Brooklyn Nets,122
24,Toronto Raptors,121,Los Angeles Lakers,107
25,Sacramento Kings,109,Milwaukee Bucks,144
26,Memphis Grizzlies,100,Phoenix Suns,102
27,Minnesota Timberwolves,81,Portland Trail Blazers,111
28,Orlando Magic,117,San Antonio Spurs,110
29,New York Knicks,95,Washington Wizards,108
30,Boston Celtics,107,Denver Nuggets,115
31,Miami Heat,120,Detroit Pistons,115
32,Memphis Grizzlies,101,Golden State Warriors,117
33,Houston Rockets,98,Indiana Pacers,94
34,Minnesota Timberwolves,109,Los Angeles Clippers,120
35,Chicago Bulls,116,New York Knicks,115
36,New Orleans Pelicans,116,Oklahoma City Thunder,122
37,Cleveland Cavaliers,100,Orlando Magic,102
38,Toronto Raptors,124,Utah Jazz,111
39,Atlanta Hawks,102,Charlotte Hornets,113
40,Washington Wizards,100,Dallas Mavericks,119
41,Brooklyn Nets,104,Phoenix Suns,82
42,Milwaukee Bucks,103,Portland Trail Blazers,118
43,New York Knicks,112,Atlanta Hawks,107
44,Oklahoma City Thunder,95,Cleveland Cavaliers,86
45,Philadelphia 76ers,100,Indiana Pacers,94
46,Minnesota Timberwolves,110,Los Angeles Lakers,114
47,Denver Nuggets,87,Memphis Grizzlies,89
48,San Antonio Spurs,88,Miami Heat,95
49,Chicago Bulls,98,New Orleans Pelicans,107
50,Detroit Pistons,103,Orlando Magic,96
51,Toronto Raptors,114,Sacramento Kings,105
52,Dallas Mavericks,102,Utah Jazz,117
