Away,AwayPts,Home,HomePts
126,Phoenix Suns,111,Boston Celtics,103
127,Brooklyn Nets,96,Chicago Bulls,93
128,Cleveland Cavaliers,99,Charlotte Hornets,110
129,Washington Wizards,118,Houston Rockets,136
130,New Orleans Pelicans,115,Milwaukee Bucks,123
131,Detroit Pistons,129,Minnesota Timberwolves,123
132,San Antonio Spurs,129,Orlando Magic,90
133,New York Knicks,109,Philadelphia 76ers,131
134,Memphis Grizzlies,92,Portland Trail Blazers,99
135,Oklahoma City Thunder,132,Sacramento Kings,113
136,Indiana Pacers,96,Toronto Raptors,99
137,Golden State Warriors,103,Utah Jazz,108
138,Dallas Mavericks,121,Los Angeles Clippers,125
139,Houston Rockets,99,Miami Heat,101
140,Milwaukee Bucks,120,Boston Celtics,107
141,Indiana Pacers,114,Brooklyn Nets,106
142,Orlando Magic,80,Chicago Bulls,90
143,Detroit Pistons,86,Charlotte Hornets,98
144,New Orleans Pelicans,104,Los Angeles Lakers,112
145,Atlanta Hawks,114,New York Knicks,107
146,Utah Jazz,120,Portland Trail Blazers,90
147,Memphis Grizzlies,99,Sacramento Kings,102
148,Minnesota Timberwolves,98,San Antonio Spurs,124
149,Cleveland Cavaliers,110,Toronto Raptors,126
150,Dallas Mavericks,116,Golden State Warriors,120
151,San Antonio Spurs,101,Houston Rockets,108
152,Denver Nuggets,111,Los Angeles Clippers,132
153,Milwaukee Bucks,87,Miami Heat,94
154,Toronto Raptors,101,Philadelphia 76ers,126
155,Oklahoma City Thunder,107,Utah Jazz,106
156,Phoenix Suns,146,Washington Wizards,149
157,Charlotte Hornets,103,Boston Celtics,119
158,Phoenix Suns,103,Brooklyn Nets,111
159,Chicago Bulls,112,Cleveland Cavaliers,92
160,Atlanta Hawks,98,Detroit Pistons,95
161,Los Angeles Clippers,127,Golden State Warriors,129
162,Washington Wizards,89,Indiana Pacers,105
163,Memphis Grizzlies,107,Los Angeles Lakers,99
164,Minnesota Timberwolves,114,Oklahoma City Thunder,112
165,Miami Heat,115,Orlando Magic,91
166,Dallas Mavericks,118,Portland Trail Blazers,121
167,New Orleans Pelicans,117,Sacramento Kings,122
168,Philadelphia 76ers,114,Boston Celtics,121
169,Los Angeles Lakers,127,Golden State Warriors,101
170,Oklahoma City Thunder,109,Houston Rockets,113
171,Milwaukee Bucks,109,New York Knicks,95
172,Portland Trail Blazers,96,Utah Jazz,117
173,Indiana Pacers,129,Atlanta Hawks,121
174,Charlotte Hornets,132,Brooklyn Nets,134
175,Minnesota Timberwolves,119,Chicago Bulls,94
176,New Orleans Pelicans,119,Dallas Mavericks,122
177,Washington Wizards,95,Detroit Pistons,106
178,Sacramento Kings,118,Los Angeles Clippers,127
179,Cleveland Cavaliers,87,Memphis Grizzlies,95
180,Toronto Raptors,106,Miami Heat,104
181,Phoenix Suns,122,Orlando Magic,120
182,Denver Nuggets,103,San Antonio Spurs,111
183,Portland Trail Blazers,110,Golden State Warriors,109
184,Boston Celtics,113,Houston Rockets,127
185,New York Knicks,96,Milwaukee Bucks,112
186,Los Angeles Lakers,116,Sacramento Kings,117
187,Philadelphia 76ers,114,Utah Jazz,97
188,Brooklyn Nets,87,Charlotte Hornets,100
189,San Antonio Spurs,99,Denver Nuggets,102
190,Detroit Pistons,88,Indiana Pacers,125
191,Los Angeles Clippers,118,Los Angeles Lakers,107
192,Cleveland Cavaliers,94,Miami Heat,118
193,Atlanta Hawks,123,Minnesota Timberwolves,120
194,Dallas Mavericks,112,New Orleans Pelicans,114
195,Toronto Raptors,87,Orlando Magic,116
196,Oklahoma City Thunder,118,Phoenix Suns,102
197,Chicago Bulls,101,Washington Wizards,92
198,Cleveland Cavaliers,,Atlanta Hawks,
199,San Antonio Spurs,,Los Angeles Clippers,
200,Boston Celtics,,Memphis Grizzlies,
201,Brooklyn Nets,,Milwaukee Bucks,
202,Houston Rockets,,New Orleans Pelicans,
203,Denver Nuggets,,Phoenix Suns,
204,Golden State Warriors,,Portland Trail Blazers,
205,New York Knicks,,Utah Jazz,
206,Charlotte Hornets,,Washington Wizards,
207,Oklahoma City Thunder,,Dallas Mavericks,
