Away,AwayPts,Home,HomePts
1,Memphis Grizzlies,,Charlotte Hornets,
2,Houston Rockets,,Denver Nuggets,
3,Oklahoma City Thunder,,Miami Heat,
4,Boston Celtics,,New York Knicks,
5,Atlanta Hawks,,Utah Jazz,
6,Chicago Bulls,,Charlotte Hornets,
7,Dallas Mavericks,,Cleveland Cavaliers,
8,Los Angeles Clippers,,Detroit Pistons,
9,Los Angeles Lakers,,Golden State Warriors,
10,Indiana Pacers,,Miami Heat,
11,Denver Nuggets,,Minnesota Timberwolves,
12,Brooklyn Nets,,Orlando Magic,
13,Atlanta Hawks,,Phoenix Suns,
14,Philadelphia 76ers,,Sacramento Kings,
15,New Orleans Pelicans,,San Antonio Spurs,
16,Houston Rockets,,Utah Jazz,
17,Milwaukee Bucks,,Washington Wizards,
18,Oklahoma City Thunder,,Boston Celtics,
19,Memphis Grizzlies,,New York Knicks,
20,Los Angeles Clippers,,Toronto Raptors,
21,Milwaukee Bucks,,Brooklyn Nets,
22,Denver Nuggets,,Detroit Pistons,
23,Indiana Pacers,,New Orleans Pelicans,
24,Houston Rockets,,Phoenix Suns,
25,San Antonio Spurs,,Sacramento Kings,
26,Atlanta Hawks,,Washington Wizards,
27,Los Angeles Clippers,,Charlotte Hornets,
28,Boston Celtics,,Cleveland Cavaliers,
29,Los Angeles Lakers,,Indiana Pacers,
30,Minnesota Timberwolves,,Memphis Grizzlies,
31,Detroit Pistons,,New York Knicks,
32,Orlando Magic,,Oklahoma City Thunder,
33,Toronto Raptors,,Philadelphia 76ers,
34,Miami Heat,,Portland Trail Blazers,
35,Denver Nuggets,,Brooklyn Nets,
36,New Orleans Pelicans,,Chicago Bulls,
37,Charlotte Hornets,,Dallas Mavericks,
38,San Antonio Spurs,,Golden State Warriors,
39,Washington Wizards,,Milwaukee Bucks,
40,Houston Rockets,,Sacramento Kings,
41,Phoenix Suns,,Utah Jazz,
42,Toronto Raptors,,Atlanta Hawks,
43,Los Angeles Lakers,,Boston Celtics,
44,Los Angeles Clippers,,Indiana Pacers,
45,Memphis Grizzlies,,Oklahoma City Thunder,
46,Minnesota Timberwolves,,Orlando Magic,
47,San Antonio Spurs,,Portland Trail Blazers,
48,Chicago Bulls,,Brooklyn Nets,
49,Milwaukee Bucks,,Dallas Mavericks,
50,New York Knicks,,Detroit Pistons,
51,Minnesota Timberwolves,,New Orleans Pelicans,
52,Denver Nuggets,,Philadelphia 76ers,
53,Golden State Warriors,,Phoenix Suns,
54,Miami Heat,,Sacramento Kings,
55,Cleveland Cavaliers,,Washington Wizards,
56,Charlotte Hornets,,Atlanta Hawks,
57,Los Angeles Clippers,,Boston Celtics,
58,Washington Wizards,,Chicago Bulls,
59,Oklahoma City Thunder,,Houston Rockets,
60,Cleveland Cavaliers,,Indiana Pacers,
61,New Orleans Pelicans,,Memphis Grizzlies,
62,Orlando Magic,,Milwaukee Bucks,
63,Toronto Raptors,,New York Knicks,
64,San Antonio Spurs,,Utah Jazz,
65,Orlando Magic,,Atlanta Hawks,
66,Portland Trail Blazers,,Dallas Mavericks,
67,Miami Heat,,Golden State Warriors,
68,Los Angeles Lakers,,Philadelphia 76ers,
69,Phoenix Suns,,Sacramento Kings,
70,Milwaukee Bucks,,Chicago Bulls,
71,New York Knicks,,Cleveland Cavaliers,
72,Miami Heat,,Denver Nuggets,
73,Washington Wizards,,Detroit Pistons,
74,Dallas Mavericks,,Houston Rockets,
75,Charlotte Hornets,,Indiana Pacers,
76,Los Angeles Clippers,,Minnesota Timberwolves,
77,Portland Trail Blazers,,Oklahoma City Thunder,
78,Brooklyn Nets,,Toronto Raptors,
79,Los Angeles Lakers,,Atlanta Hawks,
80,Utah Jazz,,Golden State Warriors,
81,San Antonio Spurs,,Memphis Grizzlies,
82,Orlando Magic,,New Orleans Pelicans,
83,Boston Celtics,,Philadelphia 76ers,
84,Detroit Pistons,,Boston Celtics,
85,Memphis Grizzlies,,Chicago Bulls,
86,Brooklyn Nets,,Cleveland Cavaliers,
87,Miami Heat,,Dallas Mavericks,
88,Sacramento Kings,,Denver Nuggets,
89,Milwaukee Bucks,,Indiana Pacers,
90,Phoenix Suns,,Los Angeles Clippers,
91,Houston Rockets,,Minnesota Timberwolves,
92,Philadelphia 76ers,,New York Knicks,
93,Golden State Warriors,,Portland Trail Blazers,
94,Washington Wizards,,Toronto Raptors,
95,New York Knicks,,Atlanta Hawks,
96,Oklahoma City Thunder,,New Orleans Pelicans,
97,Charlotte Hornets,,Orlando Magic,
98,Portland Trail Blazers,,Brooklyn Nets,
99,Phoenix Suns,,Cleveland Cavaliers,
100,Sacramento Kings,,Golden State Warriors,
101,Houston Rockets,,Los Angeles Lakers,
102,Boston Celtics,,Milwaukee Bucks,
103,Miami Heat,,Philadelphia 76ers,
104,Detroit Pistons,,Atlanta Hawks,
105,Washington Wizards,,Charlotte Hornets,
106,Denver Nuggets,,Dallas Mavericks,
107,New Orleans Pelicans,,Indiana Pacers,
108,Los Angeles Clippers,,Memphis Grizzlies,
109,Minnesota Timberwolves,,New York Knicks,
110,Utah Jazz,,Oklahoma City Thunder,
111,Chicago Bulls,,Orlando Magic,
112,San Antonio Spurs,,Toronto Raptors,
113,Phoenix Suns,,Atlanta Hawks,
114,Boston Celtics,,Chicago Bulls,
115,Brooklyn Nets,,Charlotte Hornets,
116,Memphis Grizzlies,,Cleveland Cavaliers,
117,Houston Rockets,,Golden State Warriors,
118,Detroit Pistons,,Miami Heat,
119,Minnesota Timberwolves,,Milwaukee Bucks,
120,Los Angeles Lakers,,New Orleans Pelicans,
121,Sacramento Kings,,Oklahoma City Thunder,
122,Portland Trail Blazers,,Philadelphia 76ers,
123,Dallas Mavericks,,Utah Jazz,
124,Indiana Pacers,,Washington Wizards,
125,Los Angeles Clippers,,Denver Nuggets,
126,San Antonio Spurs,,New York Knicks,
127,Orlando Magic,,Toronto Raptors,
128,San Antonio Spurs,,Brooklyn Nets,
129,Milwaukee Bucks,,Chicago Bulls,
130,Golden State Warriors,,Charlotte Hornets,
131,Portland Trail Blazers,,Cleveland Cavaliers,
132,Indiana Pacers,,Detroit Pistons,
133,Atlanta Hawks,,Houston Rockets,
134,Dallas Mavericks,,Los Angeles Clippers,
135,Los Angeles Lakers,,Memphis Grizzlies,
136,Phoenix Suns,,Miami Heat,
137,Sacramento Kings,,Minnesota Timberwolves,
138,Philadelphia 76ers,,New Orleans Pelicans,
139,Oklahoma City Thunder,,Denver Nuggets,
140,Orlando Magic,,New York Knicks,
141,Boston Celtics,,Toronto Raptors,
142,Minnesota Timberwolves,,Atlanta Hawks,
143,Portland Trail Blazers,,Boston Celtics,
144,Washington Wizards,,Brooklyn Nets,
145,Houston Rockets,,Charlotte Hornets,
146,Indiana Pacers,,Dallas Mavericks,
