Away,AwayPts,Home,HomePts
127,Houston Rockets,105,Memphis Grizzlies,83
128,Utah Jazz,125,Orlando Magic,85
129,Golden State Warriors,124,Philadelphia 76ers,116
130,Sacramento Kings,90,Portland Trail Blazers,102
131,Golden State Warriors,118,Brooklyn Nets,111
132,Denver Nuggets,109,Los Angeles Lakers,127
133,Indiana Pacers,120,Miami Heat,95
134,Detroit Pistons,100,Minnesota Timberwolves,97
135,Chicago Bulls,105,Phoenix Suns,113
136,Washington Wizards,91,Toronto Raptors,100
137,Minnesota Timberwolves,102,Charlotte Hornets,118
138,Boston Celtics,110,Dallas Mavericks,102
139,Cleveland Cavaliers,116,Detroit Pistons,88
140,Portland Trail Blazers,100,Memphis Grizzlies,92
141,Washington Wizards,99,Milwaukee Bucks,88
142,Oklahoma City Thunder,107,New Orleans Pelicans,114
143,Los Angeles Clippers,85,New York Knicks,107
144,Indiana Pacers,105,Orlando Magic,97
145,Utah Jazz,86,Philadelphia 76ers,107
146,Denver Nuggets,114,Sacramento Kings,98
147,Atlanta Hawks,85,San Antonio Spurs,96
148,Chicago Bulls,94,Los Angeles Lakers,103
149,Los Angeles Clippers,116,Atlanta Hawks,103
150,Washington Wizards,124,Charlotte Hornets,129
151,Brooklyn Nets,109,Cleveland Cavaliers,119
152,Denver Nuggets,95,Houston Rockets,125
153,Dallas Mavericks,95,Memphis Grizzlies,94
154,Boston Celtics,98,Miami Heat,104
155,Orlando Magic,118,Minnesota Timberwolves,124
156,San Antonio Spurs,90,New Orleans Pelicans,107
157,Toronto Raptors,100,New York Knicks,108
158,Golden State Warriors,91,Oklahoma City Thunder,108
159,Portland Trail Blazers,81,Philadelphia 76ers,101
160,Milwaukee Bucks,113,Phoenix Suns,107
161,Los Angeles Lakers,102,Sacramento Kings,113
162,Chicago Bulls,80,Utah Jazz,110
163,New York Knicks,104,Atlanta Hawks,116
164,Orlando Magic,103,Boston Celtics,118
165,Portland Trail Blazers,127,Brooklyn Nets,125
