Tm,ORPG,OppORPG,DRPG,OppDRPG,RPG,OppRPG,Diff
8,Atlanta,10.3,10.7,34.1,33.2,44.3,43.9,+0.4
26,Boston,9.1,10.8,32.9,33.8,42.0,44.5,-2.5
9,Brooklyn,8.8,11.0,35.1,36.2,43.9,47.2,-3.3
15,Charlotte,8.8,8.9,34.8,35.5,43.6,44.4,-0.8
2,Chicago,12.2,10.3,34.1,32.9,46.3,43.2,+3.1
11,Cleveland,9.3,11.0,34.4,33.2,43.8,44.2,-0.4
29,Dallas,7.9,8.9,30.7,35.6,38.6,44.5,-5.9
1,Denver,11.8,9.4,34.6,31.4,46.4,40.8,+5.6
3,Detroit,11.1,8.0,34.6,34.9,45.7,42.9,+2.8
6,Golden State,9.4,11.7,35.0,31.8,44.4,43.5,+0.9
7,Houston,10.9,10.7,33.5,33.4,44.4,44.1,+0.3
25,Indiana,9.0,10.7,33.0,33.5,42.0,44.3,-2.3
20,LA Clippers,9.0,10.2,34.0,32.9,43.0,43.1,-0.1
16,LA Lakers,11.4,10.3,32.1,34.2,43.5,44.4,-0.9
23,Memphis,10.8,9.3,32.0,32.8,42.8,42.1,+0.7
14,Miami,10.6,10.2,33.0,33.4,43.6,43.6,0.0
28,Milwaukee,8.8,10.3,31.6,32.1,40.4,42.5,-2.1
24,Minnesota,11.4,9.8,31.0,30.6,42.4,40.4,+2.0
12,New Orleans,8.6,10.6,35.1,37.7,43.7,48.3,-4.6
4,New York,12.0,11.6,33.2,33.1,45.2,44.7,+0.5
0,Oklahoma City,12.2,9.1,34.4,31.5,46.6,40.6,+6.0
19,Orlando,9.8,9.7,33.3,35.8,43.2,45.5,-2.3
22,Philadelphia,9.8,10.8,33.0,34.2,42.8,45.0,-2.2
5,Phoenix,11.9,10.2,33.1,33.8,45.0,44.0,+1.0
13,Portland,10.1,10.1,33.5,33.9,43.7,44.0,-0.3
27,Sacramento,8.7,10.1,32.3,32.8,41.1,42.9,-1.8
10,San Antonio,10.0,9.8,33.9,31.7,43.9,41.5,+2.4
17,Toronto,10.6,10.1,32.6,32.0,43.3,42.1,+1.2
18,Utah,9.4,9.0,33.8,31.1,43.2,40.2,+3.0
21,Washington,10.3,10.6,32.6,32.5,42.9,43.0,-0.1
