Tm,FG%,3P%,FTA,FT%,PPS,AFG%
22,Atlanta,.469,.377,20.6,.772,1.26,.536
2,Boston,.440,.339,21.3,.763,1.18,.495
27,Brooklyn,.466,.369,23.4,.766,1.23,.517
18,Charlotte,.468,.375,18.2,.795,1.23,.532
26,Chicago,.472,.370,20.2,.787,1.27,.542
25,Cleveland,.474,.368,19.4,.756,1.25,.540
11,Dallas,.469,.363,21.4,.757,1.26,.532
21,Denver,.476,.378,20.4,.738,1.25,.539
7,Detroit,.459,.359,18.9,.776,1.22,.524
17,Golden State,.447,.357,22.0,.758,1.19,.504
5,Houston,.462,.351,19.6,.746,1.21,.521
8,Indiana,.465,.349,19.5,.757,1.23,.527
23,LA Clippers,.459,.356,22.7,.782,1.24,.520
24,LA Lakers,.456,.346,22.5,.761,1.22,.514
12,Memphis,.462,.368,26.8,.769,1.31,.529
3,Miami,.450,.360,23.0,.783,1.23,.507
15,Milwaukee,.468,.373,23.5,.783,1.28,.528
16,Minnesota,.475,.366,20.5,.779,1.27,.539
28,New Orleans,.454,.355,20.5,.784,1.20,.513
19,New York,.457,.368,23.2,.774,1.25,.522
9,Oklahoma City,.458,.367,21.1,.769,1.24,.525
20,Orlando,.468,.362,21.2,.773,1.24,.525
10,Philadelphia,.434,.342,25.6,.745,1.20,.492
29,Phoenix,.471,.373,24.6,.766,1.28,.533
4,Portland,.447,.364,22.0,.755,1.20,.503
13,Sacramento,.470,.377,21.5,.765,1.28,.542
0,San Antonio,.453,.348,18.9,.759,1.18,.507
6,Toronto,.449,.357,23.7,.767,1.21,.501
1,Utah,.449,.365,20.5,.771,1.20,.506
14,Washington,.462,.349,23.5,.761,1.26,.522
