Away,AwayPts,Home,HomePts
126,Denver Nuggets,100,Sacramento Kings,116
127,Miami Heat,108,Atlanta Hawks,90
128,Phoenix Suns,121,Chicago Bulls,128
129,Brooklyn Nets,109,Denver Nuggets,129
130,Memphis Grizzlies,92,Indiana Pacers,102
131,San Antonio Spurs,105,Los Angeles Clippers,97
132,Utah Jazz,109,Milwaukee Bucks,95
133,Dallas Mavericks,84,Minnesota Timberwolves,97
134,Los Angeles Lakers,93,Oklahoma City Thunder,110
135,Washington Wizards,112,Philadelphia 76ers,120
136,Boston Celtics,97,Toronto Raptors,107
137,Chicago Bulls,117,Cleveland Cavaliers,99
138,New Orleans Pelicans,83,Dallas Mavericks,96
139,Brooklyn Nets,95,Golden State Warriors,112
140,Minnesota Timberwolves,130,Houston Rockets,142
141,Indiana Pacers,95,Miami Heat,113
142,Philadelphia 76ers,109,New York Knicks,110
143,Atlanta Hawks,86,Orlando Magic,105
144,Charlotte Hornets,99,Sacramento Kings,85
145,Memphis Grizzlies,105,Denver Nuggets,98
146,Boston Celtics,104,Detroit Pistons,98
147,Charlotte Hornets,121,Los Angeles Clippers,124
148,San Antonio Spurs,119,Los Angeles Lakers,98
149,Phoenix Suns,96,Milwaukee Bucks,100
150,New Orleans Pelicans,110,Oklahoma City Thunder,118
151,Portland Trail Blazers,106,Toronto Raptors,112
152,Utah Jazz,102,Washington Wizards,92
153,Atlanta Hawks,114,Boston Celtics,98
154,Milwaukee Bucks,95,Cleveland Cavaliers,102
155,Miami Heat,89,Dallas Mavericks,96
156,Indiana Pacers,117,Houston Rockets,108
157,Toronto Raptors,92,New York Knicks,91
158,Golden State Warriors,119,Philadelphia 76ers,108
159,Minnesota Timberwolves,102,Sacramento Kings,88
160,Denver Nuggets,125,Chicago Bulls,107
161,Portland Trail Blazers,113,Detroit Pistons,120
162,Charlotte Hornets,109,Los Angeles Lakers,104
163,Phoenix Suns,112,Memphis Grizzlies,130
164,Utah Jazz,106,Oklahoma City Thunder,109
165,Golden State Warriors,108,Washington Wizards,112
