Away,AwayPts,Home,HomePts
1,Chicago Bulls,,Atlanta Hawks,
2,Washington Wizards,,Boston Celtics,
3,Charlotte Hornets,,Brooklyn Nets,
4,Milwaukee Bucks,,Los Angeles Lakers,
5,New Orleans Pelicans,,Phoenix Suns,
6,Los Angeles Clippers,,Sacramento Kings,
7,Portland Trail Blazers,,Toronto Raptors,
8,Detroit Pistons,,Cleveland Cavaliers,
9,Memphis Grizzlies,,Dallas Mavericks,
10,New Orleans Pelicans,,Denver Nuggets,
11,Orlando Magic,,Indiana Pacers,
12,Brooklyn Nets,,Miami Heat,
13,Golden State Warriors,,Philadelphia 76ers,
14,Los Angeles Lakers,,Phoenix Suns,
15,Oklahoma City Thunder,,San Antonio Spurs,
16,Milwaukee Bucks,,Utah Jazz,
17,Houston Rockets,,Boston Celtics,
18,Atlanta Hawks,,Chicago Bulls,
19,Portland Trail Blazers,,Charlotte Hornets,
20,Orlando Magic,,Cleveland Cavaliers,
21,Toronto Raptors,,Detroit Pistons,
22,New York Knicks,,Los Angeles Clippers,
23,Memphis Grizzlies,,Oklahoma City Thunder,
24,Minnesota Timberwolves,,Washington Wizards,
25,Dallas Mavericks,,Brooklyn Nets,
26,Los Angeles Clippers,,Los Angeles Lakers,
27,Atlanta Hawks,,Miami Heat,
28,Milwaukee Bucks,,Phoenix Suns,
29,New York Knicks,,Sacramento Kings,
30,Denver Nuggets,,San Antonio Spurs,
31,New Orleans Pelicans,,Utah Jazz,
32,Boston Celtics,,Golden State Warriors,
33,Chicago Bulls,,Indiana Pacers,
34,Portland Trail Blazers,,Memphis Grizzlies,
35,Oklahoma City Thunder,,Minnesota Timberwolves,
36,Orlando Magic,,Philadelphia 76ers,
37,Houston Rockets,,Toronto Raptors,
38,San Antonio Spurs,,Atlanta Hawks,
39,Cleveland Cavaliers,,Brooklyn Nets,
40,Philadelphia 76ers,,Chicago Bulls,
41,Miami Heat,,Charlotte Hornets,
42,Minnesota Timberwolves,,Detroit Pistons,
43,Denver Nuggets,,Los Angeles Lakers,
44,Utah Jazz,,New Orleans Pelicans,
45,New York Knicks,,Phoenix Suns,
