Tm,FG%,3P%,FTA,FT%,PPS,AFG%
21,Atlanta,.451,.341,24.9,.728,1.22,.504
6,Boston,.454,.359,23.2,.807,1.27,.525
11,Brooklyn,.444,.338,24.6,.788,1.24,.507
15,Charlotte,.442,.351,23.8,.815,1.23,.501
22,Chicago,.444,.340,22.5,.798,1.18,.487
3,Cleveland,.470,.384,23.3,.748,1.30,.547
29,Dallas,.440,.355,18.5,.801,1.19,.505
2,Denver,.469,.368,24.2,.774,1.27,.530
25,Detroit,.449,.330,19.3,.719,1.14,.492
0,Golden State,.495,.383,22.6,.788,1.33,.563
1,Houston,.462,.357,26.5,.766,1.32,.545
14,Indiana,.465,.376,22.1,.810,1.24,.516
5,LA Clippers,.475,.375,26.0,.745,1.31,.537
16,LA Lakers,.450,.346,22.6,.754,1.20,.501
28,Memphis,.435,.354,23.4,.784,1.20,.491
20,Miami,.455,.365,21.6,.706,1.20,.512
19,Milwaukee,.474,.370,22.4,.768,1.27,.528
12,Minnesota,.467,.349,24.2,.799,1.25,.511
17,New Orleans,.450,.350,22.3,.750,1.20,.504
18,New York,.447,.348,21.1,.788,1.18,.496
10,Oklahoma City,.452,.327,25.8,.745,1.22,.500
26,Orlando,.440,.328,21.4,.747,1.16,.489
24,Philadelphia,.442,.340,22.0,.771,1.20,.501
8,Phoenix,.450,.332,26.3,.776,1.22,.493
7,Portland,.459,.375,23.7,.780,1.25,.520
23,Sacramento,.461,.376,23.3,.775,1.25,.516
13,San Antonio,.469,.391,22.0,.797,1.26,.524
9,Toronto,.464,.363,24.7,.796,1.27,.517
27,Utah,.466,.372,22.9,.747,1.27,.526
4,Washington,.475,.372,22.1,.784,1.25,.528
