Away,AwayPts,Home,HomePts
1,Cleveland Cavaliers,110,Atlanta Hawks,108
2,Philadelphia 76ers,91,Charlotte Hornets,100
3,Dallas Mavericks,98,Detroit Pistons,89
4,Boston Celtics,109,Golden State Warriors,106
5,Toronto Raptors,99,Memphis Grizzlies,95
6,Orlando Magic,110,Milwaukee Bucks,113
7,Brooklyn Nets,91,New York Knicks,105
8,Washington Wizards,106,Phoenix Suns,99
9,Miami Heat,112,Sacramento Kings,106
10,Minnesota Timberwolves,85,Utah Jazz,98
11,Detroit Pistons,94,Chicago Bulls,90
12,Sacramento Kings,115,Denver Nuggets,106
13,Indiana Pacers,115,Philadelphia 76ers,102
14,Miami Heat,93,Portland Trail Blazers,110
15,Toronto Raptors,95,San Antonio Spurs,102
16,New Orleans Pelicans,106,Brooklyn Nets,87
17,Charlotte Hornets,103,Cleveland Cavaliers,112
18,Portland Trail Blazers,111,Golden State Warriors,136
19,Oklahoma City Thunder,110,Houston Rockets,118
20,Washington Wizards,109,Los Angeles Clippers,114
21,Boston Celtics,107,Los Angeles Lakers,100
22,Chicago Bulls,102,Milwaukee Bucks,98
23,Dallas Mavericks,88,Minnesota Timberwolves,78
24,Indiana Pacers,92,New York Knicks,87
25,Memphis Grizzlies,107,Orlando Magic,119
26,Utah Jazz,101,Phoenix Suns,86
27,Phoenix Suns,90,Atlanta Hawks,103
28,Oklahoma City Thunder,124,Denver Nuggets,102
29,Minnesota Timberwolves,124,Golden State Warriors,117
30,Los Angeles Lakers,81,Los Angeles Clippers,103
31,Chicago Bulls,92,Memphis Grizzlies,108
32,Detroit Pistons,89,Miami Heat,107
33,Cleveland Cavaliers,109,Milwaukee Bucks,80
34,New Orleans Pelicans,93,Philadelphia 76ers,107
35,Portland Trail Blazers,115,Sacramento Kings,107
36,Charlotte Hornets,90,Toronto Raptors,96
37,San Antonio Spurs,88,Utah Jazz,86
38,New Orleans Pelicans,97,Boston Celtics,104
39,Houston Rockets,86,Dallas Mavericks,88
40,Cleveland Cavaliers,109,Indiana Pacers,123
41,Los Angeles Clippers,91,Los Angeles Lakers,81
42,Charlotte Hornets,111,New York Knicks,97
43,Detroit Pistons,108,Orlando Magic,104
44,Oklahoma City Thunder,115,Portland Trail Blazers,120
45,Brooklyn Nets,103,Washington Wizards,121
46,Toronto Raptors,87,Atlanta Hawks,95
47,San Antonio Spurs,101,Golden State Warriors,112
48,Phoenix Suns,124,Houston Rockets,115
49,Chicago Bulls,98,Miami Heat,106
50,Minnesota Timberwolves,105,Sacramento Kings,97
51,Milwaukee Bucks,109,Boston Celtics,124
52,Brooklyn Nets,99,Charlotte Hornets,113
53,Memphis Grizzlies,93,Dallas Mavericks,103
54,San Antonio Spurs,98,Denver Nuggets,102
55,Washington Wizards,99,Detroit Pistons,112
56,Los Angeles Lakers,102,New Orleans Pelicans,110
57,Miami Heat,109,Orlando Magic,112
58,New York Knicks,109,Philadelphia 76ers,102
59,Indiana Pacers,98,Toronto Raptors,111
60,Los Angeles Clippers,102,Utah Jazz,99
61,Boston Celtics,107,Atlanta Hawks,118
62,Cleveland Cavaliers,102,Chicago Bulls,105
63,Golden State Warriors,100,Memphis Grizzlies,99
