Away,AwayPts,Home,HomePts
1,Sacramento Kings,107,Chicago Bulls,106
2,San Antonio Spurs,95,Memphis Grizzlies,79
3,Charlotte Hornets,100,Miami Heat,105
4,Minnesota Timberwolves,107,Oklahoma City Thunder,111
5,Golden State Warriors,133,Orlando Magic,112
6,Indiana Pacers,115,Toronto Raptors,120
7,New Orleans Pelicans,108,Utah Jazz,114
8,Detroit Pistons,91,Washington Wizards,109
9,Phoenix Suns,111,Boston Celtics,116
10,Atlanta Hawks,114,Brooklyn Nets,102
11,Memphis Grizzlies,111,Cleveland Cavaliers,116
12,Los Angeles Clippers,82,Dallas Mavericks,108
13,Los Angeles Lakers,100,Denver Nuggets,115
14,Sacramento Kings,104,Milwaukee Bucks,109
15,Detroit Pistons,103,Philadelphia 76ers,108
16,New Orleans Pelicans,123,Portland Trail Blazers,116
17,Houston Rockets,118,Los Angeles Lakers,95
18,Golden State Warriors,123,Miami Heat,95
19,Los Angeles Clippers,106,Minnesota Timberwolves,112
20,Orlando Magic,105,New York Knicks,100
21,San Antonio Spurs,87,Oklahoma City Thunder,90
22,Brooklyn Nets,110,Atlanta Hawks,90
23,Milwaukee Bucks,100,Boston Celtics,111
24,Cleveland Cavaliers,113,Chicago Bulls,91
25,Orlando Magic,94,Charlotte Hornets,104
26,Denver Nuggets,105,Dallas Mavericks,122
27,New York Knicks,97,Indiana Pacers,115
28,Minnesota Timberwolves,92,Memphis Grizzlies,95
29,Golden State Warriors,125,New Orleans Pelicans,115
30,Phoenix Suns,115,Philadelphia 76ers,101
31,Detroit Pistons,93,San Antonio Spurs,96
32,Washington Wizards,69,Utah Jazz,116
33,Utah Jazz,94,Oklahoma City Thunder,100
34,Washington Wizards,106,Portland Trail Blazers,92
35,Phoenix Suns,113,Toronto Raptors,126
36,Dallas Mavericks,90,Boston Celtics,97
37,Golden State Warriors,101,Charlotte Hornets,87
38,Sacramento Kings,95,Cleveland Cavaliers,101
39,Chicago Bulls,96,Indiana Pacers,98
40,Minnesota Timberwolves,113,Los Angeles Clippers,107
41,Detroit Pistons,100,Milwaukee Bucks,104
42,Denver Nuggets,114,New Orleans Pelicans,123
43,Memphis Grizzlies,88,New York Knicks,99
44,Atlanta Hawks,106,Orlando Magic,110
45,Miami Heat,105,San Antonio Spurs,117
46,Oklahoma City Thunder,95,Brooklyn Nets,100
47,Los Angeles Lakers,107,Philadelphia 76ers,104
48,Washington Wizards,109,Phoenix Suns,99
49,Houston Rockets,112,Utah Jazz,101
50,Chicago Bulls,119,Charlotte Hornets,111
51,Golden State Warriors,102,Detroit Pistons,98
52,Cleveland Cavaliers,102,Indiana Pacers,106
53,Toronto Raptors,116,Memphis Grizzlies,107
54,Dallas Mavericks,102,Milwaukee Bucks,109
55,Sacramento Kings,116,New Orleans Pelicans,109
56,Denver Nuggets,103,Orlando Magic,89
57,Boston Celtics,102,San Antonio Spurs,105
58,Orlando Magic,110,Atlanta Hawks,117
59,Miami Heat,101,Brooklyn Nets,89
60,New York Knicks,102,Chicago Bulls,104
61,Los Angeles Lakers,110,Charlotte Hornets,99
62,Philadelphia 76ers,98,Cleveland Cavaliers,105
63,Washington Wizards,112,Los Angeles Clippers,113
64,Oklahoma City Thunder,102,Memphis Grizzlies,101
65,Utah Jazz,100,Milwaukee Bucks,117
66,San Antonio Spurs,104,Phoenix Suns,101
67,Houston Rockets,124,Portland Trail Blazers,117
68,Boston Celtics,91,Detroit Pistons,81
69,Denver Nuggets,116,Indiana Pacers,126
70,Dallas Mavericks,92,Minnesota Timberwolves,97
71,Philadelphia 76ers,124,New Orleans Pelicans,131
72,Atlanta Hawks,107,New York Knicks,111
73,Toronto Raptors,102,Sacramento Kings,87
74,Boston Celtics,85,Chicago Bulls,108
75,Portland Trail Blazers,104,Golden State Warriors,111
76,New Orleans Pelicans,123,Houston Rockets,130
77,Toronto Raptors,91,Los Angeles Clippers,96
78,Miami Heat,107,Memphis Grizzlies,82
