Away,AwayPts,Home,HomePts
1,Phoenix Suns,91,Brooklyn Nets,94
2,Washington Wizards,97,Cleveland Cavaliers,85
3,Orlando Magic,96,Minnesota Timberwolves,93
4,Memphis Grizzlies,113,New Orleans Pelicans,104
5,Los Angeles Lakers,91,Philadelphia 76ers,103
6,Dallas Mavericks,115,Portland Trail Blazers,112
7,Toronto Raptors,96,Atlanta Hawks,86
8,Denver Nuggets,90,Chicago Bulls,99
9,Golden State Warriors,116,Charlotte Hornets,99
10,Phoenix Suns,122,Detroit Pistons,127
11,New Orleans Pelicans,101,Houston Rockets,108
12,Indiana Pacers,103,Los Angeles Clippers,91
13,Philadelphia 76ers,87,New York Knicks,99
14,Milwaukee Bucks,70,San Antonio Spurs,95
15,Los Angeles Lakers,108,Washington Wizards,104
16,San Antonio Spurs,103,Memphis Grizzlies,83
17,Oklahoma City Thunder,95,Miami Heat,97
18,Indiana Pacers,111,Portland Trail Blazers,123
19,Boston Celtics,114,Sacramento Kings,97
20,Denver Nuggets,106,Toronto Raptors,105
21,Orlando Magic,103,Utah Jazz,94
22,Los Angeles Lakers,87,Atlanta Hawks,100
23,Houston Rockets,100,Dallas Mavericks,96
24,Milwaukee Bucks,95,Detroit Pistons,102
25,Cleveland Cavaliers,108,New Orleans Pelicans,114
26,Brooklyn Nets,91,New York Knicks,108
27,Phoenix Suns,106,Washington Wizards,109
28,Charlotte Hornets,102,Chicago Bulls,96
29,Sacramento Kings,113,Houston Rockets,120
30,Orlando Magic,101,Los Angeles Clippers,103
31,Cleveland Cavaliers,84,Miami Heat,99
32,New York Knicks,91,Milwaukee Bucks,106
33,Portland Trail Blazers,109,Minnesota Timberwolves,103
34,Denver Nuggets,108,Philadelphia 76ers,105
35,Boston Celtics,105,San Antonio Spurs,108
36,Golden State Warriors,112,Toronto Raptors,109
37,Indiana Pacers,119,Utah Jazz,122
38,Golden State Warriors,114,Brooklyn Nets,98
39,Los Angeles Lakers,91,Detroit Pistons,111
40,Phoenix Suns,93,Memphis Grizzlies,95
41,Sacramento Kings,95,Oklahoma City Thunder,98
42,Dallas Mavericks,116,Washington Wizards,104
43,Phoenix Suns,103,Chicago Bulls,101
44,Detroit Pistons,84,Charlotte Hornets,104
45,Washington Wizards,114,Miami Heat,103
46,Portland Trail Blazers,88,Milwaukee Bucks,90
47,Los Angeles Clippers,110,Minnesota Timberwolves,106
48,Boston Celtics,111,New Orleans Pelicans,93
49,Dallas Mavericks,104,New York Knicks,97
50,San Antonio Spurs,119,Philadelphia 76ers,68
51,Los Angeles Lakers,93,Toronto Raptors,102
52,Houston Rockets,105,Brooklyn Nets,110
53,Portland Trail Blazers,100,Cleveland Cavaliers,105
54,Orlando Magic,85,Denver Nuggets,74
55,Golden State Warriors,131,Indiana Pacers,123
56,Oklahoma City Thunder,125,Memphis Grizzlies,88
57,Utah Jazz,106,Sacramento Kings,114
58,Chicago Bulls,100,Boston Celtics,105
59,Miami Heat,81,Charlotte Hornets,99
60,Atlanta Hawks,98,Dallas Mavericks,95
61,Memphis Grizzlies,93,Detroit Pistons,92
62,Los Angeles Clippers,109,Milwaukee Bucks,95
63,Los Angeles Lakers,122,Minnesota Timberwolves,123
64,Orlando Magic,104,Phoenix Suns,107
